0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on December 31, 2015","AUC as on December 31, 2015","AUC as on December 31, 2015","AUC as on December 31, 2015","AUC as on December 31, 2015","AUC as on December 31, 2015","Net Investment December 16-31, 2015","Net Investment December 16-31, 2015","Net Investment December 16-31, 2015","Net Investment December 16-31, 2015","Net Investment December 16-31, 2015","Net Investment December 16-31, 2015","Net Investment January 01-15, 2016","Net Investment January 01-15, 2016","Net Investment January 01-15, 2016","Net Investment January 01-15, 2016","Net Investment January 01-15, 2016","Net Investment January 01-15, 2016","AUC as on January 15, 2016","AUC as on January 15, 2016","AUC as on January 15, 2016","AUC as on January 15, 2016","AUC as on January 15, 2016","AUC as on January 15, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,123091,270,123361,18558,41,18599,109,270,379,16,41,57,-435,0,-435,-64,0,-64,112728,270,112998,16717,40,16757
2,Total Financial Services,404346,52218,456564,60963,7873,68836,567,-973,-406,85,-147,-61,64,-1181,-1117,9,-175,-166,374633,50830,425463,55557,7538,63095
2a,Banks,180034,2229,182263,27144,336,27480,172,5,177,26,1,27,-154,-26,-179,-23,-4,-27,170185,2201,172386,25238,326,25564
2b,Other Financial Services1,224311,49990,274301,33820,7537,41356,395,-978,-584,59,-148,-88,217,-1155,-938,32,-171,-139,204448,48629,253076,30319,7211,37530
3,Capital Goods,103816,1222,105039,15652,184,15837,-39,0,-39,-6,0,-6,-815,-290,-1105,-121,-43,-164,92269,932,93201,13683,138,13821
4,Chemicals & Petrochemicals,21944,0,21944,3309,0,3309,-61,0,-61,-9,0,-9,-184,0,-184,-27,0,-27,20265,0,20265,3005,0,3005
5,Coal,18438,0,18438,2780,0,2780,-155,0,-155,-23,0,-23,-154,0,-154,-23,0,-23,17687,0,17687,2623,0,2623
6,Commercial Services & Supplies,4791,200,4991,722,30,753,7,0,7,1,0,1,-93,0,-93,-14,0,-14,4320,200,4520,641,30,670
7,Construction Materials,35752,980,36732,5390,148,5538,-114,0,-114,-17,0,-17,-173,0,-173,-26,0,-26,32682,980,33662,4847,145,4992
8,Consumer Durables,5029,0,5029,758,0,758,12,0,12,2,0,2,-131,0,-131,-19,0,-19,4530,0,4530,672,0,672
9,Diversified2,5489,0,5489,828,0,828,6,0,6,1,0,1,335,0,335,50,0,50,5388,0,5388,799,0,799
10,Diversified Consumer Services,385,0,385,58,0,58,-5,0,-5,-1,0,-1,0,0,0,0,0,0,318,0,318,47,0,47
11,"Food, Beverages & Tobacco",91448,0,91448,13788,0,13788,-360,0,-360,-54,0,-54,-265,50,-214,-39,7,-32,86424,50,86474,12816,7,12824
12,Forest Materials,1177,0,1177,178,0,178,-3,0,-3,0,0,0,3,0,3,0,0,0,789,0,789,117,0,117
13,General Industrials,14832,385,15217,2236,58,2294,-139,0,-139,-21,0,-21,-100,0,-100,-15,0,-15,13364,385,13749,1982,57,2039
14,Hardware Technology & Equipment,68,0,68,10,0,10,-3,0,-3,0,0,0,2,0,2,0,0,0,57,0,57,8,0,8
15,Healthcare Equipment & Supplies,27,0,27,4,0,4,-14,0,-14,-2,0,-2,-17,0,-17,-2,0,-2,12,0,12,2,0,2
16,Healthcare Services,9825,0,9825,1481,0,1481,56,0,56,9,0,9,62,0,62,9,0,9,9276,0,9276,1376,0,1376
17,"Hotels, Restaurants & Tourism",7735,125,7860,1166,19,1185,-13,0,-13,-2,0,-2,-180,0,-180,-27,0,-27,6665,125,6790,988,19,1007
18,Household & Personal Products,68949,0,68949,10395,0,10395,291,-125,166,44,-19,25,78,0,78,12,0,12,66257,0,66257,9826,0,9826
19,Media,30559,826,31385,4607,125,4732,-61,0,-62,-9,0,-9,-207,-19,-226,-31,-3,-34,27643,794,28437,4099,118,4217
20,Metals & Mining,22053,934,22987,3325,141,3466,-62,0,-62,-9,0,-9,-102,0,-102,-15,0,-15,19125,934,20059,2836,139,2975
21,Oil & Gas,102114,224,102337,15396,34,15429,9,-25,-16,1,-4,-2,657,0,657,97,0,97,105647,224,105871,15667,33,15700
22,Pharmaceuticals & Biotechnology,170947,0,170947,25774,0,25774,1362,0,1362,205,0,205,-239,0,-239,-35,0,-35,158680,0,158680,23532,0,23532
23,Realty,14293,295,14587,2155,44,2199,2,0,2,0,0,0,-259,0,-259,-38,0,-38,12746,295,13040,1890,44,1934
24,Retailing,7634,0,7634,1151,0,1151,-19,0,-19,-3,0,-3,28,0,28,4,0,4,7066,0,7066,1048,0,1048
25,Software & Services,254154,0,254154,38319,0,38319,379,0,379,57,0,57,-564,0,-564,-84,0,-84,248862,0,248862,36905,0,36905
26,Telecom Services,42574,3264,45838,6419,492,6911,-150,5,-145,-23,1,-22,-155,-21,-177,-23,-3,-26,36503,3244,39746,5413,481,5894
27,Telecommunications Equipment,231,0,231,35,0,35,-13,0,-13,-2,0,-2,45,0,45,7,0,7,262,0,262,39,0,39
28,"Textiles, Apparels & Accessories",30357,0,30357,4577,0,4577,12,0,12,2,0,2,-56,0,-56,-8,0,-8,28919,0,28919,4289,0,4289
29,Transportation,34941,720,35661,5268,109,5377,-48,0,-48,-7,0,-7,-62,0,-62,-9,0,-9,31541,720,32261,4677,107,4784
29 a,Airlines,387,699,1086,58,105,164,26,0,26,4,0,4,157,0,157,23,0,23,533,699,1232,79,104,183
29 b,Logistics,3093,1,3094,466,0,466,25,0,25,4,0,4,3,0,3,0,0,0,3357,1,3359,498,0,498
29 c,Marine Port & Services,19846,0,19846,2992,0,2992,-85,0,-85,-13,0,-13,-166,0,-166,-25,0,-25,17012,0,17012,2523,0,2523
29 d,Roads & Highways,2856,20,2876,431,3,434,16,0,16,2,0,2,-1,0,-1,0,0,0,2552,20,2572,378,3,381
29 e,Shipping,1466,0,1466,221,0,221,12,0,12,2,0,2,8,0,8,1,0,1,1385,0,1385,205,0,205
29 f,Surface Transportation,55,0,55,8,0,8,-1,0,-1,0,0,0,0,0,0,0,0,0,48,0,48,7,0,7
29 g,Transport Related Services,7239,0,7239,1091,0,1091,-40,0,-40,-6,0,-6,-63,0,-63,-9,0,-9,6653,0,6653,987,0,987
30,Utilities3,62724,6975,69699,9457,1052,10509,361,14,375,54,2,57,180,930,1110,27,138,165,59603,7942,67545,8839,1178,10017
31,Sovereign,0,169657,169657,0,25579,25579,0,-1539,-1539,0,-232,-232,0,5012,5012,0,743,743,0,175460,175460,0,26020,26020
32,Others4,285608,106914,392522,43061,16119,59181,515,-2191,-1675,78,-330,-253,-748,-1242,-1990,-111,-184,-295,253944,105926,359871,37659,15709,53368
,Grand Total,1975329,345210,2320539,297821,52047,349869,2429,-4565,-2136,366,-688,-322,-3484,3239,-245,-517,480,-36,1838203,349311,2187514,272599,51802,324401
