0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
24,Pharmaceuticals & Biotechnology,124289,950,0,125239,17797,136,0,17933,-234,0,0,-234,-33,0,0,-33,-1215,0,0,-1215,-173,0,0,-173,114010,950,0,114960,16239,135,0,16374
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,26398,584,0,26982,3780,84,0,3864,-710,0,0,-710,-102,0,0,-102,-40,0,0,-40,-6,0,0,-6,25459,584,0,26043,3626,83,0,3709
27,Retailing,27902,300,0,28202,3995,43,0,4038,-159,0,0,-159,-23,0,0,-23,149,0,0,149,21,0,0,21,26981,300,0,27281,3843,43,0,3886
28,Software & Services,374311,0,0,374311,53598,0,0,53598,206,0,0,206,29,0,0,29,-1345,0,0,-1345,-192,0,0,-192,350755,0,0,350755,49959,0,0,49959
29,Telecom Services,49759,1822,0,51581,7125,261,0,7386,-71,0,0,-71,-10,0,0,-10,-302,-9,0,-311,-43,-1,0,-44,55181,1822,0,57003,7860,260,0,8120
30,Telecommunications Equipment,181,0,0,181,26,0,0,26,2,0,0,2,0,0,0,0,4,0,0,4,1,0,0,1,176,0,0,176,25,0,0,25
31,"Textiles, Apparels & Accessories",44840,0,0,44840,6421,0,0,6421,250,0,0,250,36,0,0,36,78,0,0,78,11,0,0,11,43751,0,0,43751,6232,0,0,6232
32,Transportation,42171,699,0,42870,6038,100,0,6138,104,0,0,104,15,0,0,15,158,0,0,158,22,0,0,22,40746,699,0,41445,5804,100,0,5904
32 a,Airlines,9322,699,0,10021,1335,100,0,1435,257,0,0,257,37,0,0,37,58,0,0,58,8,0,0,8,9903,699,0,10602,1410,100,0,1510
32 b,Logistics,1905,0,0,1905,273,0,0,273,10,0,0,10,1,0,0,1,2,0,0,2,0,0,0,0,1786,0,0,1786,254,0,0,254
32 c,Marine Port & Services,18744,0,0,18744,2684,0,0,2684,-146,0,0,-146,-21,0,0,-21,97,0,0,97,14,0,0,14,17483,0,0,17483,2490,0,0,2490
32 d,Roads & Highways,2463,0,0,2463,353,0,0,353,7,0,0,7,1,0,0,1,-46,0,0,-46,-7,0,0,-7,2225,0,0,2225,317,0,0,317
32 e,Shipping,1095,0,0,1095,157,0,0,157,0,0,0,0,0,0,0,0,46,0,0,46,7,0,0,7,992,0,0,992,141,0,0,141
32 f,Surface Transportation,44,0,0,44,6,0,0,6,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,6,0,0,6
32 g,Transport Related Services,8597,0,0,8597,1231,0,0,1231,-23,0,0,-23,-3,0,0,-3,0,0,0,0,0,0,0,0,8314,0,0,8314,1184,0,0,1184
33,Utilities3,88272,4073,0,92345,12640,583,0,13223,544,0,0,544,78,0,0,78,-205,-36,0,-241,-29,-5,0,-34,83106,4059,0,87165,11837,578,0,12415
34,Sovereign,0,188856,0,188856,0,27042,0,27042,0,-1668,0,-1668,0,-239,0,-239,0,839,0,839,0,119,0,119,0,190038,0,190038,0,27068,0,27068
35,Others4,38349,140958,4566,183873,5491,20184,654,26329,-42,297,-2,253,-6,43,0,37,3069,-3309,-13,-253,437,-471,-2,-36,34408,140170,4816,179394,4901,19965,686,25552
,Grand Total,2943292,405206,6547,3355045,421453,58022,937,480412,7279,-1821,-14,5444,1042,-261,-2,779,-2815,-3924,2182,-4557,-401,-559,311,-649,2792993,404101,8997,3206091,397813,57557,1281,456651
