0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
7,Consumer Services,322786,920,50,0,0,0,0,0,0,0,0,323756,36867,105,6,0,0,0,0,0,0,0,0,36978,2064,-72,0,0,0,0,0,0,0,0,0,1992,236,-8,0,0,0,0,0,0,0,0,0,228,-948,0,0,0,0,0,0,0,0,0,0,-948,-108,0,0,0,0,0,0,0,0,0,0,-108,328751,920,50,0,0,0,0,0,0,0,0,329721,37578,105,6,0,0,0,0,0,0,0,0,37689
8,Diversified,4504,204,0,0,0,0,0,0,0,0,0,4708,514,23,0,0,0,0,0,0,0,0,0,537,-35,0,0,0,0,0,0,0,0,0,0,-35,-4,0,0,0,0,0,0,0,0,0,0,-4,-58,0,0,0,0,0,0,0,0,0,0,-58,-7,0,0,0,0,0,0,0,0,0,0,-7,4398,204,0,0,0,0,0,0,0,0,0,4602,503,23,0,0,0,0,0,0,0,0,0,526
9,Fast Moving Consumer Goods,398986,92,285,0,0,0,0,0,0,0,0,399363,45570,11,33,0,0,0,0,0,0,0,0,45614,2986,0,0,0,0,0,0,0,0,0,0,2986,341,0,0,0,0,0,0,0,0,0,0,341,-1150,0,0,0,0,0,0,0,0,0,0,-1150,-131,0,0,0,0,0,0,0,0,0,0,-131,396235,92,285,0,0,0,0,0,0,0,0,396612,45292,11,33,0,0,0,0,0,0,0,0,45336
10,Financial Services,2277046,17799,14223,0,0,0,0,0,0,496,0,2309564,260072,2033,1625,0,0,0,0,0,0,57,0,263787,-6720,-262,-861,0,0,0,0,0,0,2,0,-7841,-767,-30,-98,0,0,0,0,0,0,0,0,-895,-13471,-143,-140,0,0,0,0,0,0,-4,0,-13758,-1540,-16,-16,0,0,0,0,0,0,0,0,-1572,2239585,17431,14376,0,0,0,0,0,0,495,0,2271887,255996,1992,1643,0,0,0,0,0,0,57,0,259688
11,Forest Materials,3144,484,0,0,0,0,0,0,0,0,0,3628,359,55,0,0,0,0,0,0,0,0,0,414,25,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,3,-21,0,0,0,0,0,0,0,0,0,0,-21,-2,0,0,0,0,0,0,0,0,0,0,-2,2987,484,0,0,0,0,0,0,0,0,0,3471,341,55,0,0,0,0,0,0,0,0,0,396
12,Healthcare,503415,435,1300,0,0,0,0,0,0,0,0,505150,57497,50,148,0,0,0,0,0,0,0,0,57695,700,0,0,0,0,0,0,0,0,0,0,700,80,0,0,0,0,0,0,0,0,0,0,80,-2095,0,0,0,0,0,0,0,0,0,0,-2095,-239,0,0,0,0,0,0,0,0,0,0,-239,494378,435,1300,0,0,0,0,0,0,0,0,496113,56510,50,149,0,0,0,0,0,0,0,0,56709
13,Information Technology,530868,0,0,0,0,0,0,0,0,0,0,530868,60633,0,0,0,0,0,0,0,0,0,0,60633,-14422,0,0,0,0,0,0,0,0,0,0,-14422,-1647,0,0,0,0,0,0,0,0,0,0,-1647,-6380,0,0,0,0,0,0,0,0,0,0,-6380,-729,0,0,0,0,0,0,0,0,0,0,-729,516207,0,0,0,0,0,0,0,0,0,0,516207,59005,0,0,0,0,0,0,0,0,0,0,59005
14,"Media, Entertainment & Publication",12597,0,0,0,0,0,0,0,0,0,0,12597,1439,0,0,0,0,0,0,0,0,0,0,1439,-106,0,0,0,0,0,0,0,0,0,0,-106,-12,0,0,0,0,0,0,0,0,0,0,-12,-14,0,0,0,0,0,0,0,0,0,0,-14,-2,0,0,0,0,0,0,0,0,0,0,-2,12794,0,0,0,0,0,0,0,0,0,0,12794,1462,0,0,0,0,0,0,0,0,0,0,1462
15,Metals & Mining,203138,261,0,0,0,0,0,0,0,0,0,203399,23201,30,0,0,0,0,0,0,0,0,0,23231,1641,76,0,0,0,0,0,0,0,0,0,1717,187,9,0,0,0,0,0,0,0,0,0,196,606,0,0,0,0,0,0,0,0,0,0,606,69,0,0,0,0,0,0,0,0,0,0,69,202154,261,0,0,0,0,0,0,0,0,0,202415,23107,30,0,0,0,0,0,0,0,0,0,23137
16,"Oil, Gas & Consumable Fuels",505294,342,0,0,0,0,0,0,0,0,0,505636,57712,39,0,0,0,0,0,0,0,0,0,57751,-4177,-27,0,0,0,0,0,0,0,0,0,-4204,-477,-3,0,0,0,0,0,0,0,0,0,-480,-4091,0,0,0,0,0,0,0,0,0,0,-4091,-468,0,0,0,0,0,0,0,0,0,0,-468,492821,342,0,0,0,0,0,0,0,0,0,493163,56332,39,0,0,0,0,0,0,0,0,0,56371
17,Power,240892,3408,0,0,5776,0,0,0,0,0,0,250076,27513,389,0,0,660,0,0,0,0,0,0,28562,-141,0,0,0,-20,0,0,0,0,0,0,-161,-16,0,0,0,-2,0,0,0,0,0,0,-18,-2358,0,0,0,-1,0,0,0,0,0,0,-2359,-270,0,0,0,0,0,0,0,0,0,0,-270,235558,3408,0,0,5871,0,0,0,0,0,0,244837,26926,390,0,0,671,0,0,0,0,0,0,27987
18,Realty,138735,1073,879,0,24145,0,0,0,0,0,0,164832,15846,123,100,0,2758,0,0,0,0,0,0,18827,-3684,0,0,0,27,0,0,0,0,0,0,-3657,-421,0,0,0,3,0,0,0,0,0,0,-418,-1211,0,-40,0,-151,0,0,0,0,0,0,-1402,-138,0,-5,0,-17,0,0,0,0,0,0,-160,132829,1073,860,0,23945,0,0,0,0,0,0,158707,15183,123,98,0,2737,0,0,0,0,0,0,18141
19,Services,171375,3444,2874,0,3434,0,0,0,0,0,0,181127,19574,393,328,0,392,0,0,0,0,0,0,20687,724,-9,0,0,-61,0,0,0,0,0,0,654,83,-1,0,0,-7,0,0,0,0,0,0,75,384,2090,410,0,-4,0,0,0,0,0,0,2880,44,239,47,0,0,0,0,0,0,0,0,330,170644,5944,2874,0,3392,0,0,0,0,0,0,182854,19505,679,328,0,388,0,0,0,0,0,0,20900
20,Telecommunication,349013,121,7900,0,12088,0,0,0,0,0,0,369122,39862,14,902,0,1381,0,0,0,0,0,0,42159,1190,0,0,0,0,0,0,0,0,0,0,1190,136,0,0,0,0,0,0,0,0,0,0,136,7446,0,0,0,0,0,0,0,0,0,0,7446,851,0,0,0,0,0,0,0,0,0,0,851,346934,121,7900,0,11895,0,0,0,0,0,0,366850,39656,14,903,0,1360,0,0,0,0,0,0,41933
21,Textiles,25645,460,0,0,0,0,0,0,0,0,0,26105,2929,53,0,0,0,0,0,0,0,0,0,2982,42,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,5,-228,0,0,0,0,0,0,0,0,0,0,-228,-26,0,0,0,0,0,0,0,0,0,0,-26,22536,460,0,0,0,0,0,0,0,0,0,22996,2576,53,0,0,0,0,0,0,0,0,0,2629
22,Utilities,2493,78,0,0,0,0,0,0,0,0,0,2571,285,9,0,0,0,0,0,0,0,0,0,294,-9,0,0,0,0,0,0,0,0,0,0,-9,-1,0,0,0,0,0,0,0,0,0,0,-1,-24,0,0,0,0,0,0,0,0,0,0,-24,-3,0,0,0,0,0,0,0,0,0,0,-3,2432,78,0,0,0,0,0,0,0,0,0,2510,278,9,0,0,0,0,0,0,0,0,0,287
23,Sovereign,0,54562,1458,258065,0,0,0,0,0,0,0,314085,0,6232,167,29475,0,0,0,0,0,0,0,35874,0,-1295,52,-105,0,0,0,0,0,0,0,-1348,0,-148,6,-12,0,0,0,0,0,0,0,-154,0,2116,-40,3127,0,0,0,0,0,0,0,5203,0,242,-5,357,0,0,0,0,0,0,0,594,0,56866,1419,259497,0,0,0,0,0,0,0,317782,0,6500,162,29662,0,0,0,0,0,0,0,36324
24,Others,50970,90824,138250,0,9605,7202,1896,176,0,2671,25,301619,5822,10373,15790,0,1097,823,217,20,0,305,3,34450,8153,28,3685,0,0,445,-64,-4,0,12,0,12255,931,3,421,0,0,51,-7,-1,0,1,0,1399,-26,419,43,0,0,1678,74,-1,0,-153,0,2034,-3,48,5,0,0,192,8,0,0,-18,0,232,51129,91723,138176,0,9605,8842,1973,174,0,2338,25,303985,5844,10484,15794,0,1098,1011,226,20,0,267,3,34747
,Grand Total,7196613,176494,168150,258065,55144,7202,1896,176,0,3167,25,7866932,821959,20158,19205,29475,6298,823,217,20,0,362,3,898520,-16295,-1568,2876,-105,-54,445,-64,-4,0,14,0,-14755,-1861,-179,328,-12,-6,51,-7,-1,0,2,0,-1685,-20975,4469,232,3127,-156,1678,74,-1,0,-157,0,-11709,-2398,511,27,357,-18,192,8,0,0,-18,0,-1339,7108732,181815,168170,259497,54802,8842,1973,174,0,2833,25,7786863,812564,20782,19223,29662,6264,1011,226,20,0,324,3,890079
