0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","AUC as on June 30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment June 16-30, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","Net Investment July 01-15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022","AUC as on July 15, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,229758,0,11,0,229769,29105,0,2,0,29107,-1020,0,0,0,-1020,-129,0,0,0,-129,-363,0,0,0,-363,-45,0,0,0,-45,242393,0,11,0,242404,30345,0,2,0,30347
2,Capital Goods,92721,426,0,0,93147,11745,54,0,0,11799,528,0,0,0,528,67,0,0,0,67,499,0,0,0,499,62,0,0,0,62,96913,426,0,0,97339,12132,53,0,0,12185
3,Chemicals,87412,0,0,0,87412,11073,0,0,0,11073,-323,0,0,0,-323,-41,0,0,0,-41,-503,0,0,0,-503,-63,0,0,0,-63,92251,0,0,0,92251,11549,0,0,0,11549
4,Construction,50669,660,2238,2441,56008,6418,84,284,309,7095,-709,0,0,-1,-710,-90,0,0,0,-90,338,-19,0,-3,316,42,-2,0,0,40,54893,641,2238,2589,60361,6872,80,280,324,7556
5,Construction Materials,63013,1277,783,0,65073,7982,162,99,0,8243,-515,0,0,0,-515,-65,0,0,0,-65,77,-80,0,0,-3,10,-10,0,0,0,65525,1195,783,0,67503,8203,150,98,0,8451
6,Consumer Durables,143724,0,0,0,143724,18206,0,0,0,18206,-2651,0,0,0,-2651,-336,0,0,0,-336,-394,0,0,0,-394,-49,0,0,0,-49,156558,0,0,0,156558,19599,0,0,0,19599
7,Consumer Services,90969,419,125,0,91513,11524,53,16,0,11593,-934,0,0,0,-934,-118,0,0,0,-118,-282,0,0,0,-282,-35,0,0,0,-35,97688,419,125,0,98232,12229,52,16,0,12297
8,Diversified,1546,200,0,0,1746,196,25,0,0,221,6,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1582,200,0,0,1782,198,25,0,0,223
9,Fast Moving Consumer Goods,265865,281,128,0,266274,33678,36,16,0,33730,-910,0,0,0,-910,-115,0,0,0,-115,2085,0,0,0,2085,261,0,0,0,261,295155,281,128,0,295564,36950,35,16,0,37001
10,Financial Services,1284931,16722,6599,0,1308252,162769,2118,836,0,165723,-5565,268,105,0,-5192,-705,34,13,0,-658,-1008,-111,-1744,0,-2863,-126,-14,-218,0,-358,1335966,16601,4831,0,1357398,167247,2078,605,0,169930
11,Forest Materials,1195,440,0,0,1635,151,56,0,0,207,-4,0,0,0,-4,0,0,0,0,0,-4,0,0,0,-4,0,0,0,0,0,1214,440,0,0,1654,152,55,0,0,207
12,Healthcare,195204,222,0,0,195426,24727,28,0,0,24755,-1160,0,0,0,-1160,-147,0,0,0,-147,818,0,0,0,818,102,0,0,0,102,202246,222,0,0,202468,25319,28,0,0,25347
13,Information Technology,510308,0,340,0,510648,64643,0,43,0,64686,-2503,0,0,0,-2503,-317,0,0,0,-317,-3213,0,0,0,-3213,-402,0,0,0,-402,483542,0,340,0,483882,60534,0,43,0,60577
14,"Media, Entertainment & Publication",18994,0,155,0,19149,2406,0,20,0,2426,-90,0,-10,0,-100,-11,0,-1,0,-12,100,0,0,0,100,13,0,0,0,13,20012,0,155,0,20167,2505,0,19,0,2524
15,Metals & Mining,114936,16,12,0,114964,14559,2,2,0,14563,-1663,0,0,0,-1663,-211,0,0,0,-211,-1418,0,0,0,-1418,-178,0,0,0,-178,119349,16,12,0,119377,14941,2,1,0,14944
16,"Oil, Gas & Consumable Fuels",538924,442,412,0,539778,68268,56,52,0,68376,-4510,0,0,0,-4510,-571,0,0,0,-571,-4531,-55,0,0,-4586,-567,-7,0,0,-574,512787,385,413,0,513585,64195,48,52,0,64295
17,Power,195851,1411,255,8053,205570,24809,179,32,1020,26040,-743,-51,5,-18,-807,-94,-6,1,-2,-101,1039,0,0,-12,1027,130,0,0,-2,128,212955,1412,255,8047,222669,26659,177,32,1007,27875
18,Realty,49682,99,80,18890,68751,6293,13,10,2393,8709,-186,0,0,-91,-277,-24,0,0,-12,-36,-54,0,-102,-36,-192,-7,0,-13,-5,-25,54132,99,4,18745,72980,6777,12,0,2347,9136
19,Services,65848,849,0,0,66697,8341,108,0,0,8449,-582,0,0,0,-582,-74,0,0,0,-74,-31,0,0,0,-31,-4,0,0,0,-4,71151,849,0,0,72000,8907,106,0,0,9013
20,Telecommunication,102684,132,0,0,102816,13007,17,0,0,13024,-1426,0,0,0,-1426,-181,0,0,0,-181,-481,-25,0,0,-506,-60,-3,0,0,-63,100453,132,0,0,100585,12576,16,0,0,12592
21,Textiles,17992,0,0,0,17992,2279,0,0,0,2279,-185,0,0,0,-185,-23,0,0,0,-23,-53,0,0,0,-53,-7,0,0,0,-7,19126,0,0,0,19126,2394,0,0,0,2394
22,Utilities,336,0,0,0,336,43,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,347,43,0,0,0,43
