0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
18,"Hotels, Restaurants & Tourism",10824,104,0,0,10928,1448,14,0,0,1462,61,0,0,0,61,8,0,0,0,8,122,0,0,0,122,16,0,0,0,16,12096,104,0,0,12200,1618,14,0,0,1632
19,Household & Personal Products,131921,0,0,0,131921,17643,0,0,0,17643,-553,0,0,0,-553,-74,0,0,0,-74,178,0,0,0,178,24,0,0,0,24,130629,0,0,0,130629,17470,0,0,0,17470
20,Insurance,85088,0,0,0,85088,11380,0,0,0,11380,288,0,0,0,288,39,0,0,0,39,269,135,0,0,404,36,18,0,0,54,81196,135,0,0,81331,10859,18,0,0,10877
21,Media,14944,113,0,0,15057,1999,15,0,0,2014,-397,0,0,0,-397,-53,0,0,0,-53,224,0,0,0,224,30,0,0,0,30,16722,113,0,0,16835,2236,15,0,0,2251
22,Metals & Mining,32721,649,193,0,33563,4376,87,26,0,4489,388,-50,-5,0,333,52,-7,-1,0,44,166,-41,-110,0,15,22,-5,-15,0,2,37758,532,80,0,38370,5050,71,11,0,5132
23,Oil & Gas,372265,3593,486,0,376344,49787,481,65,0,50333,5528,-89,0,0,5439,739,-12,0,0,727,448,-85,16,0,379,60,-11,2,0,51,381051,3512,501,0,385064,50962,470,67,0,51499
24,Pharmaceuticals & Biotechnology,139557,0,4416,0,143973,18664,0,591,0,19255,595,0,-413,0,182,80,0,-55,0,25,520,0,0,0,520,70,0,0,0,70,146016,0,4416,0,150432,19528,0,591,0,20119
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,21845,118,0,0,21963,2922,16,0,0,2938,5,-437,-677,0,-1109,1,-58,-91,0,-148,22,0,0,0,22,3,0,0,0,3,22714,118,0,0,22832,3038,16,0,0,3054
27,Retailing,38007,150,0,0,38157,5083,20,0,0,5103,-61,0,0,0,-61,-8,0,0,0,-8,126,0,0,0,126,17,0,0,0,17,40908,150,0,0,41058,5471,20,0,0,5491
28,Software & Services,378020,0,0,0,378020,50556,0,0,0,50556,1005,0,0,0,1005,134,0,0,0,134,351,0,0,0,351,47,0,0,0,47,376658,0,0,0,376658,50374,0,0,0,50374
29,Telecom Services,82474,375,0,0,82849,11030,50,0,0,11080,-574,0,0,0,-574,-77,0,0,0,-77,-193,0,0,0,-193,-26,0,0,0,-26,80284,375,0,0,80659,10737,50,0,0,10787
30,Telecommunications Equipment,91,0,0,0,91,12,0,0,0,12,-1,0,0,0,-1,0,0,0,0,0,-3,0,0,0,-3,0,0,0,0,0,105,0,0,0,105,14,0,0,0,14
31,"Textiles, Apparels & Accessories",29236,0,0,0,29236,3910,0,0,0,3910,96,0,0,0,96,13,0,0,0,13,108,0,0,0,108,14,0,0,0,14,30444,0,0,0,30444,4072,0,0,0,4072
32,Transportation,30321,699,750,0,31770,4055,93,100,0,4248,-156,0,0,0,-156,-21,0,0,0,-21,72,0,0,0,72,10,0,0,0,10,31344,699,750,0,32793,4192,93,100,0,4385
32 a,Airlines,5383,699,0,0,6082,720,93,0,0,813,-132,0,0,0,-132,-18,0,0,0,-18,69,0,0,0,69,9,0,0,0,9,6232,699,0,0,6931,834,93,0,0,927
32 b,Logistics,1187,0,0,0,1187,159,0,0,0,159,-32,0,0,0,-32,-4,0,0,0,-4,-8,0,0,0,-8,-1,0,0,0,-1,1191,0,0,0,1191,159,0,0,0,159
32 c,Marine Port & Services,11485,0,0,0,11485,1536,0,0,0,1536,-56,0,0,0,-56,-7,0,0,0,-7,90,0,0,0,90,12,0,0,0,12,12750,0,0,0,12750,1705,0,0,0,1705
32 d,Roads & Highways,1332,0,750,0,2082,178,0,100,0,278,47,0,0,0,47,6,0,0,0,6,9,0,0,0,9,1,0,0,0,1,1467,0,750,0,2217,196,0,100,0,296
32 e,Shipping,853,0,0,0,853,114,0,0,0,114,-21,0,0,0,-21,-3,0,0,0,-3,-31,0,0,0,-31,-4,0,0,0,-4,940,0,0,0,940,126,0,0,0,126
32 f,Surface Transportation,23,0,0,0,23,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,4,0,0,0,4
32 g,Transport Related Services,7348,0,0,0,7348,983,0,0,0,983,30,0,0,0,30,4,0,0,0,4,-87,0,0,0,-87,-12,0,0,0,-12,6096,0,0,0,6096,815,0,0,0,815
32 h,Airport Services,2709,0,0,0,2709,362,0,0,0,362,9,0,0,0,9,1,0,0,0,1,29,0,0,0,29,4,0,0,0,4,2640,0,0,0,2640,353,0,0,0,353
33,Utilities3,65913,2386,0,0,68299,8815,319,0,0,9134,170,73,0,0,243,23,10,0,0,33,74,-78,0,0,-4,10,-10,0,0,0,66491,2312,0,0,68803,8892,309,0,0,9201
34,Sovereign,0,142391,3278,0,145669,0,19043,438,0,19481,0,-1280,209,0,-1071,0,-171,28,0,-143,0,1801,165,0,1966,0,241,22,0,263,0,145188,3428,0,148616,0,19417,459,0,19876
35,Others4,22097,106797,56217,16966,202077,2955,14283,7518,2269,27025,3329,-613,693,55,3464,445,-82,93,7,463,15383,-889,382,3033,17909,2057,-119,51,406,2395,21293,105562,56942,20129,203926,2848,14118,7615,2692,27273
,Grand Total,2788693,289355,72771,16966,3167785,372959,38698,9732,2269,423658,12383,-3864,-1099,55,7475,1656,-517,-147,7,999,26147,896,1160,3033,31236,3497,120,155,406,4178,2855983,290592,75332,20129,3242036,381958,38864,10075,2692,433589
