0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","Net Investment August 16-31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024","AUC as on August 31, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,569870,163,10,-,0,-,-,-,-,-,-,570043,67893,19,1,-,0,-,-,-,-,-,-,67913,-1628,0,0,-,0,-,-,-,-,-,-,-1628,-194,0,0,-,0,-,-,-,-,-,-,-194,-751,0,-10,-,0,-,-,-,-,-,-,-761,-89,0,-1,-,0,-,-,-,-,-,-,-90,591671,163,0,0,0,0,0,0,0,0,0,591834,70545,19,0,0,0,0,0,0,0,0,0,70564
2,Capital Goods,397601,768,29,-,0,-,-,-,-,-,-,398398,47369,91,3,-,0,-,-,-,-,-,-,47463,-1089,-4,0,-,0,-,-,-,-,-,-,-1093,-130,0,0,-,0,-,-,-,-,-,-,-130,780,0,0,-,0,-,-,-,-,-,-,780,93,0,0,-,0,-,-,-,-,-,-,93,405929,764,29,0,0,0,0,0,0,0,0,406722,48399,91,3,0,0,0,0,0,0,0,0,48493
3,Chemicals,114357,0,615,-,0,-,-,-,-,-,-,114972,13624,0,73,-,0,-,-,-,-,-,-,13697,-204,0,0,-,0,-,-,-,-,-,-,-204,-24,0,0,-,0,-,-,-,-,-,-,-24,182,0,0,-,0,-,-,-,-,-,-,182,22,0,0,-,0,-,-,-,-,-,-,22,119830,0,615,0,0,0,0,0,0,0,0,120445,14287,0,73,0,0,0,0,0,0,0,0,14360
4,Construction,139792,235,0,-,91,-,-,-,-,-,-,140118,16655,28,0,-,11,-,-,-,-,-,-,16694,-699,-70,0,-,0,-,-,-,-,-,-,-769,-83,-8,0,-,0,-,-,-,-,-,-,-91,-59,0,0,-,-8,-,-,-,-,-,-,-67,-7,0,0,-,-1,-,-,-,-,-,-,-8,146176,235,0,0,82,0,0,0,0,0,0,146493,17429,28,0,0,10,0,0,0,0,0,0,17467
5,Construction Materials,123438,1275,380,-,0,-,-,-,-,-,-,125093,14706,152,45,-,0,-,-,-,-,-,-,14903,-2036,0,0,-,0,-,-,-,-,-,-,-2036,-243,0,0,-,0,-,-,-,-,-,-,-243,894,0,0,-,0,-,-,-,-,-,-,894,107,0,0,-,0,-,-,-,-,-,-,107,128776,1275,380,0,0,0,0,0,0,0,0,130431,15354,152,45,0,0,0,0,0,0,0,0,15551
6,Consumer Durables,214595,125,0,-,0,-,-,-,-,-,-,214720,25566,15,0,-,0,-,-,-,-,-,-,25581,-584,125,0,-,0,-,-,-,-,-,-,-459,-70,15,0,-,0,-,-,-,-,-,-,-55,5297,0,0,-,0,-,-,-,-,-,-,5297,632,0,0,-,0,-,-,-,-,-,-,632,229429,125,0,0,0,0,0,0,0,0,0,229554,27355,15,0,0,0,0,0,0,0,0,0,27370
