0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
7,Consumer Services,313844,930,50,0,0,0,0,0,0,0,0,314824,36688,109,6,0,0,0,0,0,0,0,0,36803,2809,0,0,0,0,0,0,0,0,0,0,2809,328,0,0,0,0,0,0,0,0,0,0,328,953,-4,0,0,0,0,0,0,0,0,0,949,111,-1,0,0,0,0,0,0,0,0,0,110,307682,930,50,0,0,0,0,0,0,0,0,308662,35849,108,6,0,0,0,0,0,0,0,0,35963
8,Diversified,4531,204,0,0,0,0,0,0,0,0,0,4735,530,24,0,0,0,0,0,0,0,0,0,554,-102,25,0,0,0,0,0,0,0,0,0,-77,-12,3,0,0,0,0,0,0,0,0,0,-9,-22,0,0,0,0,0,0,0,0,0,0,-22,-3,0,0,0,0,0,0,0,0,0,0,-3,4433,204,0,0,0,0,0,0,0,0,0,4637,517,24,0,0,0,0,0,0,0,0,0,541
9,Fast Moving Consumer Goods,381081,92,285,0,0,0,0,0,0,0,0,381458,44548,11,33,0,0,0,0,0,0,0,0,44592,-359,-12,0,0,0,0,0,0,0,0,0,-371,-42,-1,0,0,0,0,0,0,0,0,0,-43,-1428,0,0,0,0,0,0,0,0,0,0,-1428,-166,0,0,0,0,0,0,0,0,0,0,-166,392609,92,285,0,0,0,0,0,0,0,0,392986,45745,11,33,0,0,0,0,0,0,0,0,45789
10,Financial Services,2343322,17661,15013,0,0,0,0,0,0,487,0,2376483,273932,2065,1755,0,0,0,0,0,0,57,0,277809,4261,291,60,0,0,0,0,0,0,3,0,4615,498,34,7,0,0,0,0,0,0,0,0,539,820,991,-359,0,0,0,0,0,0,6,0,1458,96,115,-42,0,0,0,0,0,0,1,0,170,2325641,18141,15100,0,0,0,0,0,0,504,0,2359386,270971,2114,1759,0,0,0,0,0,0,59,0,274903
11,Forest Materials,3716,484,0,0,0,0,0,0,0,0,0,4200,434,57,0,0,0,0,0,0,0,0,0,491,-27,0,0,0,0,0,0,0,0,0,0,-27,-3,0,0,0,0,0,0,0,0,0,0,-3,14,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,3578,484,0,0,0,0,0,0,0,0,0,4062,417,56,0,0,0,0,0,0,0,0,0,473
12,Healthcare,490839,435,1300,0,0,0,0,0,0,0,0,492574,57379,51,152,0,0,0,0,0,0,0,0,57582,-442,-43,0,0,0,0,0,0,0,0,0,-485,-52,-5,0,0,0,0,0,0,0,0,0,-57,-757,0,0,0,0,0,0,0,0,0,0,-757,-88,0,0,0,0,0,0,0,0,0,0,-88,500962,435,1300,0,0,0,0,0,0,0,0,502697,58369,51,151,0,0,0,0,0,0,0,0,58571
13,Information Technology,607777,0,0,0,0,0,0,0,0,0,0,607777,71049,0,0,0,0,0,0,0,0,0,0,71049,2879,0,0,0,0,0,0,0,0,0,0,2879,336,0,0,0,0,0,0,0,0,0,0,336,-5479,0,0,0,0,0,0,0,0,0,0,-5479,-638,0,0,0,0,0,0,0,0,0,0,-638,578096,0,0,0,0,0,0,0,0,0,0,578096,67357,0,0,0,0,0,0,0,0,0,0,67357
14,"Media, Entertainment & Publication",13621,0,0,0,0,0,0,0,0,0,0,13621,1592,0,0,0,0,0,0,0,0,0,0,1592,-74,0,0,0,0,0,0,0,0,0,0,-74,-9,0,0,0,0,0,0,0,0,0,0,-9,-91,0,0,0,0,0,0,0,0,0,0,-91,-11,0,0,0,0,0,0,0,0,0,0,-11,13492,0,0,0,0,0,0,0,0,0,0,13492,1572,0,0,0,0,0,0,0,0,0,0,1572
15,Metals & Mining,204710,201,0,0,0,0,0,0,0,0,0,204911,23930,24,0,0,0,0,0,0,0,0,0,23954,201,-10,-1250,0,0,0,0,0,0,0,0,-1059,23,-1,-146,0,0,0,0,0,0,0,0,-124,1724,-15,0,0,0,0,0,0,0,0,0,1709,201,-2,0,0,0,0,0,0,0,0,0,199,203647,186,0,0,0,0,0,0,0,0,0,203833,23728,22,0,0,0,0,0,0,0,0,0,23750
16,"Oil, Gas & Consumable Fuels",542676,422,0,0,0,0,0,0,0,0,0,543098,63438,49,0,0,0,0,0,0,0,0,0,63487,4938,0,0,0,0,0,0,0,0,0,0,4938,577,0,0,0,0,0,0,0,0,0,0,577,905,-51,0,0,0,0,0,0,0,0,0,854,105,-6,0,0,0,0,0,0,0,0,0,99,540234,369,0,0,0,0,0,0,0,0,0,540603,62945,43,0,0,0,0,0,0,0,0,0,62988
17,Power,247251,3452,0,0,5609,0,0,0,0,0,0,256312,28903,404,0,0,656,0,0,0,0,0,0,29963,-3191,-26,0,0,19,0,0,0,0,0,0,-3198,-373,-3,0,0,2,0,0,0,0,0,0,-374,203,-44,0,0,6,0,0,0,0,0,0,165,24,-5,0,0,1,0,0,0,0,0,0,20,249685,3408,0,0,5775,0,0,0,0,0,0,258868,29092,397,0,0,673,0,0,0,0,0,0,30162
18,Realty,154561,974,894,0,24073,0,0,0,0,0,0,180502,18068,114,104,0,2814,0,0,0,0,0,0,21100,910,-5,45,0,50,0,0,0,0,0,0,1000,106,-1,5,0,6,0,0,0,0,0,0,116,-249,97,-180,0,-420,0,0,0,0,0,0,-752,-29,11,-21,0,-49,0,0,0,0,0,0,-88,154130,1073,887,0,23861,0,0,0,0,0,0,179951,17958,125,103,0,2780,0,0,0,0,0,0,20966
19,Services,172192,3455,2874,0,3468,0,0,0,0,0,0,181989,20129,404,336,0,405,0,0,0,0,0,0,21274,-57,0,0,0,0,0,0,0,0,0,0,-57,-7,0,0,0,0,0,0,0,0,0,0,-7,2733,-2,0,0,3,0,0,0,0,0,0,2734,318,0,0,0,0,0,0,0,0,0,0,318,176066,3453,2874,0,3493,0,0,0,0,0,0,185886,20514,402,335,0,407,0,0,0,0,0,0,21658
20,Telecommunication,367820,121,7900,0,11381,0,0,0,0,0,0,387222,42998,14,924,0,1330,0,0,0,0,0,0,45266,3620,0,0,0,0,0,0,0,0,0,0,3620,423,0,0,0,0,0,0,0,0,0,0,423,283,0,0,0,0,0,0,0,0,0,0,283,33,0,0,0,0,0,0,0,0,0,0,33,355140,121,7900,0,11894,0,0,0,0,0,0,375055,41379,14,920,0,1386,0,0,0,0,0,0,43699
21,Textiles,26087,460,0,0,0,0,0,0,0,0,0,26547,3050,54,0,0,0,0,0,0,0,0,0,3104,-5,0,0,0,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,0,0,-1,234,0,0,0,0,0,0,0,0,0,0,234,27,0,0,0,0,0,0,0,0,0,0,27,26297,460,0,0,0,0,0,0,0,0,0,26757,3064,54,0,0,0,0,0,0,0,0,0,3118
22,Utilities,2480,78,0,0,0,0,0,0,0,0,0,2558,290,9,0,0,0,0,0,0,0,0,0,299,-36,0,0,0,0,0,0,0,0,0,0,-36,-4,0,0,0,0,0,0,0,0,0,0,-4,-9,0,0,0,0,0,0,0,0,0,0,-9,-1,0,0,0,0,0,0,0,0,0,0,-1,2456,78,0,0,0,0,0,0,0,0,0,2534,286,9,0,0,0,0,0,0,0,0,0,295
23,Sovereign,0,56061,468,254079,0,0,0,0,0,0,0,310608,0,6553,55,29702,0,0,0,0,0,0,0,36310,0,-35,-29,3181,0,0,0,0,0,0,0,3117,0,-4,-3,372,0,0,0,0,0,0,0,365,0,379,0,7855,0,0,0,0,0,0,0,8234,0,44,0,915,0,0,0,0,0,0,0,959,0,55531,468,259706,0,0,0,0,0,0,0,315705,0,6470,54,30260,0,0,0,0,0,0,0,36784
24,Others,55438,91727,135350,0,9605,6622,1607,257,0,2678,25,303309,6481,10723,15822,0,1123,774,188,30,0,313,3,35457,1453,771,1330,0,0,171,-298,2,0,9,0,3438,170,90,156,0,0,20,-35,0,0,1,0,402,-17,-20,2060,0,0,132,350,-75,0,51,0,2481,-2,-2,240,0,0,15,41,-9,0,6,0,289,52444,91001,134489,0,9605,6723,1830,181,0,2713,25,299011,6110,10603,15670,0,1119,783,213,21,0,316,3,34838
,Grand Total,7418858,178997,164915,254079,54226,6622,1607,257,0,3164,25,8082750,867257,20925,19278,29702,6339,774,188,30,0,370,3,944866,19992,1200,156,3181,70,171,-298,2,0,12,0,24486,2337,140,18,372,8,20,-35,0,0,1,0,2861,-1446,1334,1420,7855,-409,132,350,-75,0,57,0,9218,-168,155,165,915,-48,15,41,-9,0,7,0,1073,7364330,177960,164283,259706,54722,6723,1830,181,0,3218,25,8032978,858052,20735,19141,30260,6376,783,213,21,0,375,3,935959
