0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","AUC as on September 30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment September 16-30, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","Net Investment October 01-15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020","AUC as on October 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
18,"Hotels, Restaurants & Tourism",14861,104,0,0,14965,2014,14,0,0,2028,-6,0,0,0,-6,-1,0,0,0,-1,83,0,0,0,83,11,0,0,0,11,14571,104,0,0,14675,1989,14,0,0,2003
19,Household & Personal Products,128272,0,0,0,128272,17382,0,0,0,17382,783,0,0,0,783,106,0,0,0,106,246,0,0,0,246,34,0,0,0,34,130247,0,0,0,130247,17777,0,0,0,17777
20,Insurance,78507,135,0,0,78642,10638,18,0,0,10656,-404,0,0,0,-404,-55,0,0,0,-55,-567,0,0,0,-567,-77,0,0,0,-77,76903,135,0,0,77038,10496,18,0,0,10514
21,Media,22111,100,0,0,22211,2996,14,0,0,3010,-74,0,0,0,-74,-10,0,0,0,-10,-126,0,0,0,-126,-17,0,0,0,-17,20065,100,0,0,20165,2739,14,0,0,2753
22,Metals & Mining,36970,554,80,0,37604,5010,75,11,0,5096,-1064,0,0,0,-1064,-144,0,0,0,-144,-435,0,0,0,-435,-59,0,0,0,-59,34225,554,80,0,34859,4671,76,11,0,4758
23,Oil & Gas,396632,2747,350,0,399729,53746,372,47,0,54165,-1691,-139,-50,0,-1880,-229,-19,-7,0,-255,962,0,0,0,962,131,0,0,0,131,390936,2747,350,0,394033,53357,375,48,0,53780
24,Pharmaceuticals & Biotechnology,146553,0,4416,0,150969,19859,0,598,0,20457,-516,0,0,0,-516,-70,0,0,0,-70,167,0,0,0,167,23,0,0,0,23,148668,0,4416,0,153084,20291,0,603,0,20894
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,24263,115,0,0,24378,3288,16,0,0,3304,-128,-3,0,0,-131,-17,0,0,0,-17,-62,-2,0,0,-64,-8,0,0,0,-8,23945,113,0,0,24058,3268,15,0,0,3283
27,Retailing,43650,150,0,0,43800,5915,20,0,0,5935,-128,0,0,0,-128,-17,0,0,0,-17,-89,0,0,0,-89,-12,0,0,0,-12,41626,150,0,0,41776,5681,20,0,0,5701
28,Software & Services,416167,0,0,0,416167,56393,0,0,0,56393,411,0,0,0,411,56,0,0,0,56,517,0,0,0,517,71,0,0,0,71,451822,0,0,0,451822,61667,0,0,0,61667
29,Telecom Services,61740,375,0,0,62115,8366,51,0,0,8417,-2140,0,0,0,-2140,-290,0,0,0,-290,-163,0,0,0,-163,-22,0,0,0,-22,59401,446,0,0,59847,8107,61,0,0,8168
30,Telecommunications Equipment,81,0,0,0,81,11,0,0,0,11,-24,0,0,0,-24,-3,0,0,0,-3,-2,0,0,0,-2,0,0,0,0,0,76,0,0,0,76,10,0,0,0,10
31,"Textiles, Apparels & Accessories",32886,0,0,0,32886,4456,0,0,0,4456,-187,0,0,0,-187,-25,0,0,0,-25,-63,0,0,0,-63,-9,0,0,0,-9,32747,0,0,0,32747,4469,0,0,0,4469
32,Transportation,31905,0,750,0,32655,4323,0,102,0,4425,-186,0,0,0,-186,-25,0,0,0,-25,156,0,0,0,156,21,0,0,0,21,32190,0,750,0,32940,4393,0,102,0,4495
32 a,Airlines,7200,0,0,0,7200,976,0,0,0,976,34,0,0,0,34,5,0,0,0,5,163,0,0,0,163,22,0,0,0,22,7655,0,0,0,7655,1045,0,0,0,1045
32 b,Logistics,1441,0,0,0,1441,195,0,0,0,195,-17,0,0,0,-17,-2,0,0,0,-2,-12,0,0,0,-12,-2,0,0,0,-2,1392,0,0,0,1392,190,0,0,0,190
32 c,Marine Port & Services,12623,0,0,0,12623,1711,0,0,0,1711,25,0,0,0,25,3,0,0,0,3,87,0,0,0,87,12,0,0,0,12,12767,0,0,0,12767,1742,0,0,0,1742
32 d,Roads & Highways,1346,0,750,0,2096,182,0,102,0,284,-27,0,0,0,-27,-4,0,0,0,-4,-10,0,0,0,-10,-1,0,0,0,-1,1300,0,750,0,2050,177,0,102,0,279
32 e,Shipping,841,0,0,0,841,114,0,0,0,114,-6,0,0,0,-6,-1,0,0,0,-1,-6,0,0,0,-6,-1,0,0,0,-1,794,0,0,0,794,108,0,0,0,108
32 f,Surface Transportation,29,0,0,0,29,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,4,0,0,0,4
32 g,Transport Related Services,5491,0,0,0,5491,744,0,0,0,744,-194,0,0,0,-194,-26,0,0,0,-26,-43,0,0,0,-43,-6,0,0,0,-6,5310,0,0,0,5310,725,0,0,0,725
32 h,Airport Services,2933,0,0,0,2933,397,0,0,0,397,-2,0,0,0,-2,0,0,0,0,0,-22,0,0,0,-22,-3,0,0,0,-3,2942,0,0,0,2942,402,0,0,0,402
33,Utilities3,63212,2275,0,0,65487,8566,308,0,0,8874,-139,-11,0,0,-150,-19,-1,0,0,-20,-399,-5,250,0,-154,-54,-1,34,0,-21,61092,2272,250,0,63614,8338,310,34,0,8682
34,Sovereign,0,146706,3178,0,149884,0,19879,431,0,20310,0,2581,55,0,2636,0,350,8,0,358,0,3019,20,0,3039,0,412,3,0,415,0,150569,3199,0,153768,0,20550,437,0,20987
35,Others4,25227,100114,59515,22658,207514,3418,13566,8065,3070,28119,781,288,527,-134,1462,106,39,71,-18,198,1490,-3552,-1102,-94,-3258,203,-485,-150,-13,-445,22999,97854,58474,22376,201703,3139,13356,7981,3054,27530
,Grand Total,2937489,284309,77938,22658,3322394,398046,38525,10561,3070,450202,-7330,2720,625,-134,-4119,-993,369,85,-18,-557,8782,-879,-490,-94,7319,1199,-120,-67,-13,999,3027079,285596,77659,22376,3412710,413153,38980,10599,3054,465786
