0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","Net Investment January 01-15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018","AUC as on January 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
25,Software & Services,237103,0,0,237103,37089,0,0,37089,-6043,0,0,-6043,-945,0,0,-945,682,0,0,682,108,0,0,108,240459,0,0,240459,37920,0,0,37920
26,Telecom Services,54391,2353,0,56744,8508,368,0,8876,-389,0,0,-389,-61,0,0,-61,10,-25,0,-14,2,-4,0,-2,51977,2328,0,54305,8197,367,0,8564
27,Telecommunications Equipment,543,0,0,543,85,0,0,85,1,0,0,1,0,0,0,0,-3,0,0,-3,0,0,0,0,594,0,0,594,94,0,0,94
28,"Textiles, Apparels & Accessories",40716,9,0,40725,6369,1,0,6371,54,0,0,54,8,0,0,8,-174,0,0,-174,-27,0,0,-27,41139,9,0,41148,6488,1,0,6489
29,Transportation,33962,717,0,34679,5313,112,0,5425,-301,-3,0,-304,-47,0,0,-48,-136,0,0,-136,-21,0,0,-21,35375,717,0,36092,5579,113,0,5692
29 a,Airlines,1130,699,0,1829,177,109,0,286,34,0,0,34,5,0,0,5,-23,0,0,-23,-4,0,0,-4,1038,699,0,1737,164,110,0,274
29 b,Logistics,2742,0,0,2742,429,0,0,429,2,0,0,2,0,0,0,0,-10,0,0,-10,-1,0,0,-1,2835,0,0,2835,447,0,0,447
29 c,Marine Port & Services,17441,0,0,17441,2728,0,0,2728,-354,0,0,-354,-55,0,0,-55,-152,0,0,-152,-24,0,0,-24,18303,0,0,18303,2886,0,0,2886
29 d,Roads & Highways,2172,18,0,2190,340,3,0,343,40,-3,0,37,6,0,0,6,8,0,0,8,1,0,0,1,2276,18,0,2293,359,3,0,362
29 e,Shipping,1638,0,0,1638,256,0,0,256,-3,0,0,-3,0,0,0,0,10,0,0,10,2,0,0,2,1799,0,0,1799,284,0,0,284
29 f,Surface Transportation,59,0,0,59,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,59,9,0,0,9
29 g,Transport Related Services,8779,0,0,8779,1373,0,0,1373,-20,0,0,-20,-3,0,0,-3,30,0,0,30,5,0,0,5,9066,0,0,9066,1430,0,0,1430
30,Utilities3,92705,6158,0,98864,14502,963,0,15465,428,109,0,537,67,17,0,84,144,-10,0,134,23,-2,0,21,92872,6151,0,99023,14646,970,0,15616
31,Sovereign,0,244461,0,244461,0,38240,0,38240,0,450,0,450,0,70,0,70,0,2067,0,2067,0,326,0,326,0,247203,0,247203,0,38983,0,38983
32,Others4,594677,134888,2630,732194,93024,21100,411,114535,-2140,257,-11,-1894,-335,40,-2,-296,965,940,-23,1882,152,148,-4,297,620579,135977,2617,759173,97864,21443,413,119720
,Grand Total,2824386,453268,2630,3280284,441812,70902,411,513125,-3366,1232,-11,-2146,-527,192,-2,-337,2143,3241,-23,5361,340,511,-4,848,2896729,457137,2617,3356484,456811,72089,413,529312
