0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","September 15, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 15, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"September 15, 2021"
16,Healthcare Equipment & Supplies,1444,0,0,0,1444,197,0,0,0,197,26,0,0,0,26,4,0,0,0,4,30,0,0,0,30,4,0,0,0,4,1506,0,0,0,1506,204,0,0,0,204,"September 15, 2021"
17,Healthcare Services,67352,0,0,0,67352,9207,0,0,0,9207,-272,0,0,0,-272,-37,0,0,0,-37,619,0,0,0,619,84,0,0,0,84,67270,0,0,0,67270,9131,0,0,0,9131,"September 15, 2021"
18,"Hotels, Restaurants & Tourism",32456,100,100,0,32656,4437,14,14,0,4465,-259,0,0,0,-259,-35,0,0,0,-35,517,0,0,0,517,70,0,0,0,70,35271,100,100,0,35471,4788,14,14,0,4816,"September 15, 2021"
19,Household & Personal Products,184167,0,0,0,184167,25175,0,0,0,25175,512,0,0,0,512,70,0,0,0,70,707,0,0,0,707,96,0,0,0,96,189069,0,0,0,189069,25664,0,0,0,25664,"September 15, 2021"
20,Insurance,121569,95,0,0,121664,16618,13,0,0,16631,205,0,0,0,205,28,0,0,0,28,232,0,0,0,232,32,0,0,0,32,124361,95,0,0,124456,16881,13,0,0,16894,"September 15, 2021"
21,Media,17470,55,165,0,17690,2388,8,23,0,2419,-421,0,0,0,-421,-58,0,0,0,-58,837,0,-30,0,807,114,0,-4,0,110,22641,55,165,0,22861,3073,7,22,0,3102,"September 15, 2021"
22,Metals & Mining,112432,363,0,0,112795,15369,50,0,0,15419,268,0,0,0,268,37,0,0,0,37,568,0,0,0,568,77,0,0,0,77,115356,363,0,0,115719,15658,49,0,0,15707,"September 15, 2021"
23,Oil & Gas,457790,1296,335,0,459421,62579,177,46,0,62802,2020,0,0,0,2020,276,0,0,0,276,779,0,52,0,831,106,0,7,0,113,464965,753,220,0,465938,63114,102,30,0,63246,"September 15, 2021"
24,Pharmaceuticals & Biotechnology,177865,0,0,0,177865,24314,0,0,0,24314,-1508,0,0,0,-1508,-206,0,0,0,-206,662,0,0,0,662,90,0,0,0,90,180670,0,0,0,180670,24524,0,0,0,24524,"September 15, 2021"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"September 15, 2021"
26,Realty,49798,121,98,0,50017,6807,17,13,0,6837,107,0,0,0,107,15,0,0,0,15,-124,-2,0,0,-126,-17,0,0,0,-17,53851,119,98,0,54068,7310,16,13,0,7339,"September 15, 2021"
27,Retailing,85585,105,0,0,85690,11699,14,0,0,11713,1323,0,0,0,1323,181,0,0,0,181,502,0,0,0,502,68,0,0,0,68,89422,105,0,0,89527,12138,14,0,0,12152,"September 15, 2021"
28,Software & Services,702454,0,340,0,702794,96025,0,46,0,96071,42,0,0,0,42,6,0,0,0,6,-855,0,0,0,-855,-116,0,0,0,-116,727235,0,340,0,727575,98714,0,46,0,98760,"September 15, 2021"
29,Telecom Services,98173,217,0,0,98390,13420,30,0,0,13450,403,0,0,0,403,55,0,0,0,55,2877,-11,0,0,2866,391,-1,0,0,390,110407,207,0,0,110614,14986,28,0,0,15014,"September 15, 2021"
30,Telecommunications Equipment,298,0,0,0,298,41,0,0,0,41,45,0,0,0,45,6,0,0,0,6,52,0,0,0,52,7,0,0,0,7,389,0,0,0,389,53,0,0,0,53,"September 15, 2021"
31,"Textiles, Apparels & Accessories",54406,0,0,0,54406,7437,0,0,0,7437,-256,0,0,0,-256,-35,0,0,0,-35,218,0,0,0,218,30,0,0,0,30,58993,0,0,0,58993,8008,0,0,0,8008,"September 15, 2021"
32,Transportation,61009,1399,2928,0,65336,8340,191,400,0,8931,437,0,0,0,437,60,0,0,0,60,-6,0,0,0,-6,-1,0,0,0,-1,63672,1399,2928,0,67999,8643,190,397,0,9230,"September 15, 2021"
32 a,Airlines,14203,699,0,0,14902,1942,96,0,0,2038,72,0,0,0,72,10,0,0,0,10,-135,0,0,0,-135,-18,0,0,0,-18,14633,699,0,0,15332,1986,95,0,0,2081,"September 15, 2021"
32 b,Logistics,3223,0,0,0,3223,441,0,0,0,441,44,0,0,0,44,6,0,0,0,6,-23,0,0,0,-23,-3,0,0,0,-3,3230,0,0,0,3230,438,0,0,0,438,"September 15, 2021"
32 c,Marine Port & Services,24509,150,0,0,24659,3350,21,0,0,3371,119,0,0,0,119,16,0,0,0,16,88,0,0,0,88,12,0,0,0,12,25199,150,0,0,25349,3420,20,0,0,3440,"September 15, 2021"
32 d,Roads & Highways,2545,550,2928,0,6023,348,75,400,0,823,36,0,0,0,36,5,0,0,0,5,65,0,0,0,65,9,0,0,0,9,2827,550,2928,0,6305,384,75,397,0,856,"September 15, 2021"
32 e,Shipping,1262,0,0,0,1262,173,0,0,0,173,-19,0,0,0,-19,-3,0,0,0,-3,8,0,0,0,8,1,0,0,0,1,1326,0,0,0,1326,180,0,0,0,180,"September 15, 2021"
32 f,Surface Transportation,81,0,0,0,81,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,84,0,0,0,84,11,0,0,0,11,"September 15, 2021"
32 g,Transport Related Services,10654,0,0,0,10654,1456,0,0,0,1456,129,0,0,0,129,18,0,0,0,18,-10,0,0,0,-10,-1,0,0,0,-1,11326,0,0,0,11326,1537,0,0,0,1537,"September 15, 2021"
32 h,Airport Services,4531,0,0,0,4531,619,0,0,0,619,56,0,0,0,56,8,0,0,0,8,1,0,0,0,1,0,0,0,0,0,5047,0,0,0,5047,685,0,0,0,685,"September 15, 2021"
33,Utilities3,136793,1621,250,0,138664,18699,222,34,0,18955,674,0,0,0,674,92,0,0,0,92,386,-27,0,0,359,52,-4,0,0,48,149218,1594,250,0,151062,20255,216,34,0,20505,"September 15, 2021"
34,Sovereign,0,146293,4057,0,150350,0,19998,555,0,20553,0,2201,353,0,2554,0,301,48,0,349,0,5371,-102,0,5269,0,729,-14,0,715,0,151790,3912,0,155702,0,20604,531,0,21135,"September 15, 2021"
35,Others4,7973,86096,97006,19809,210884,1090,11769,13261,2708,28828,10,10529,3902,-97,14344,1,1439,533,-13,1960,349,-616,-249,15,-501,47,-84,-34,2,-69,31527,86435,96967,29238,244167,4279,11733,13162,3969,33143,"September 15, 2021"
,Grand Total,4789916,263752,116636,29161,5199465,654775,36055,15944,3986,710760,-2,12270,4150,60,16478,0,1677,567,8,2252,8615,3894,-56,15,12468,1169,529,-8,2,1692,4949482,267935,116799,29238,5363454,671834,36369,15854,3969,728026,"September 15, 2021"
