0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,309034,1099,670,0,0,0,0,0,0,0,0,310803,35726,127,77,0,0,0,0,0,0,0,0,35930,-3507,0,-511,0,0,0,0,0,0,0,0,-4018,-405,0,-59,0,0,0,0,0,0,0,0,-464,-4840,-10,0,0,0,0,0,0,0,0,0,-4850,-559,-1,0,0,0,0,0,0,0,0,0,-560,291085,1089,670,0,0,0,0,0,0,0,0,292844,33597,126,77,0,0,0,0,0,0,0,0,33800,"January 31, 2025"
8,Diversified,6632,306,0,0,0,0,0,0,0,0,0,6938,767,35,0,0,0,0,0,0,0,0,0,802,-60,0,0,0,0,0,0,0,0,0,0,-60,-7,0,0,0,0,0,0,0,0,0,0,-7,287,0,0,0,0,0,0,0,0,0,0,287,33,0,0,0,0,0,0,0,0,0,0,33,6300,306,0,0,0,0,0,0,0,0,0,6606,727,35,0,0,0,0,0,0,0,0,0,762,"January 31, 2025"
9,Fast Moving Consumer Goods,391878,104,285,0,0,0,0,0,0,0,0,392267,45303,12,33,0,0,0,0,0,0,0,0,45348,-1134,0,0,0,0,0,0,0,0,0,0,-1134,-131,0,0,0,0,0,0,0,0,0,0,-131,-4294,0,0,0,0,0,0,0,0,0,0,-4294,-496,0,0,0,0,0,0,0,0,0,0,-496,395306,104,285,0,0,0,0,0,0,0,0,395695,45626,12,33,0,0,0,0,0,0,0,0,45671,"January 31, 2025"
10,Financial Services,1947105,18196,15657,0,0,0,0,0,0,233,0,1981191,225097,2104,1810,0,0,0,0,0,0,27,0,229038,-12204,-1975,-849,0,0,0,0,0,0,26,0,-15002,-1411,-228,-98,0,0,0,0,0,0,3,0,-1734,-12745,-389,1419,0,0,0,0,0,0,0,0,-11715,-1471,-45,164,0,0,0,0,0,0,0,0,-1352,1966433,17849,17233,0,0,0,0,0,0,236,0,2001751,226962,2060,1989,0,0,0,0,0,0,27,0,231038,"January 31, 2025"
11,Forest Materials,3451,415,0,0,0,0,0,0,0,0,0,3866,399,48,0,0,0,0,0,0,0,0,0,447,-80,0,0,0,0,0,0,0,0,0,0,-80,-9,0,0,0,0,0,0,0,0,0,0,-9,-35,0,0,0,0,0,0,0,0,0,0,-35,-4,0,0,0,0,0,0,0,0,0,0,-4,3524,415,0,0,0,0,0,0,0,0,0,3939,407,48,0,0,0,0,0,0,0,0,0,455,"January 31, 2025"
12,Healthcare,472926,633,1300,0,0,0,0,0,0,0,0,474859,54673,73,150,0,0,0,0,0,0,0,0,54896,-1460,0,0,0,0,0,0,0,0,0,0,-1460,-169,0,0,0,0,0,0,0,0,0,0,-169,-2912,-155,0,0,0,0,0,0,0,0,0,-3067,-336,-18,0,0,0,0,0,0,0,0,0,-354,467065,477,1300,0,0,0,0,0,0,0,0,468842,53908,55,150,0,0,0,0,0,0,0,0,54113,"January 31, 2025"
13,Information Technology,727585,0,11,0,0,0,0,0,0,0,0,727596,84113,0,1,0,0,0,0,0,0,0,0,84114,-1927,0,0,0,0,0,0,0,0,0,0,-1927,-223,0,0,0,0,0,0,0,0,0,0,-223,-4544,0,0,0,0,0,0,0,0,0,0,-4544,-524,0,0,0,0,0,0,0,0,0,0,-524,698631,0,10,0,0,0,0,0,0,0,0,698641,80635,0,1,0,0,0,0,0,0,0,0,80636,"January 31, 2025"
14,"Media, Entertainment & Publication",12258,0,0,0,0,0,0,0,0,0,0,12258,1417,0,0,0,0,0,0,0,0,0,0,1417,177,0,0,0,0,0,0,0,0,0,0,177,20,0,0,0,0,0,0,0,0,0,0,20,3,0,-5,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,-1,11593,0,0,0,0,0,0,0,0,0,0,11593,1338,0,0,0,0,0,0,0,0,0,0,1338,"January 31, 2025"
15,Metals & Mining,184858,163,1250,0,0,0,0,0,0,0,0,186271,21371,19,145,0,0,0,0,0,0,0,0,21535,-1997,0,0,0,0,0,0,0,0,0,0,-1997,-231,0,0,0,0,0,0,0,0,0,0,-231,-385,15,0,0,0,0,0,0,0,0,0,-370,-44,2,0,0,0,0,0,0,0,0,0,-42,186285,178,1250,0,0,0,0,0,0,0,0,187713,21501,21,144,0,0,0,0,0,0,0,0,21666,"January 31, 2025"
16,"Oil, Gas & Consumable Fuels",471682,390,0,0,0,0,0,0,0,0,0,472072,54529,45,0,0,0,0,0,0,0,0,0,54574,-1203,0,0,0,0,0,0,0,0,0,0,-1203,-139,0,0,0,0,0,0,0,0,0,0,-139,-369,0,0,0,0,0,0,0,0,0,0,-369,-43,0,0,0,0,0,0,0,0,0,0,-43,471684,390,0,0,0,0,0,0,0,0,0,472074,54441,45,0,0,0,0,0,0,0,0,0,54486,"January 31, 2025"
17,Power,249371,3178,44,0,5602,0,0,0,0,0,0,258195,28829,367,5,0,648,0,0,0,0,0,0,29849,-3115,-44,-19,0,-6,0,0,0,0,0,0,-3184,-360,-5,-2,0,-1,0,0,0,0,0,0,-368,-1083,-10,0,0,-1,0,0,0,0,0,0,-1094,-125,-1,0,0,0,0,0,0,0,0,0,-126,245274,3168,25,0,5548,0,0,0,0,0,0,254015,28309,366,3,0,640,0,0,0,0,0,0,29318,"January 31, 2025"
18,Realty,148998,1006,1252,0,23952,0,0,0,0,0,0,175208,17225,116,145,0,2769,0,0,0,0,0,0,20255,-608,-2,0,0,74,0,0,0,0,0,0,-536,-70,0,0,0,9,0,0,0,0,0,0,-61,-394,0,0,0,23,0,0,0,0,0,0,-371,-45,0,0,0,3,0,0,0,0,0,0,-42,148075,1006,1245,0,23822,0,0,0,0,0,0,174148,17091,116,144,0,2750,0,0,0,0,0,0,20101,"January 31, 2025"
19,Services,131575,1843,1814,0,3926,0,0,0,0,0,0,139158,15211,213,210,0,454,0,0,0,0,0,0,16088,-259,0,0,0,-2,0,0,0,0,0,0,-261,-30,0,0,0,0,0,0,0,0,0,0,-30,-1334,-9,0,0,-2,0,0,0,0,0,0,-1345,-154,-1,0,0,0,0,0,0,0,0,0,-155,130743,1834,1814,0,3942,0,0,0,0,0,0,138333,15090,212,209,0,455,0,0,0,0,0,0,15966,"January 31, 2025"
20,Telecommunication,275404,121,7900,0,12096,0,0,0,0,0,0,295521,31838,14,913,0,1398,0,0,0,0,0,0,34163,-499,0,0,0,0,0,0,0,0,0,0,-499,-58,0,0,0,0,0,0,0,0,0,0,-58,643,0,0,0,0,0,0,0,0,0,0,643,74,0,0,0,0,0,0,0,0,0,0,74,278276,120,7900,0,12096,0,0,0,0,0,0,298392,32118,14,912,0,1396,0,0,0,0,0,0,34440,"January 31, 2025"
21,Textiles,26044,460,0,0,0,0,0,0,0,0,0,26504,3011,53,0,0,0,0,0,0,0,0,0,3064,205,0,0,0,0,0,0,0,0,0,0,205,24,0,0,0,0,0,0,0,0,0,0,24,397,0,0,0,0,0,0,0,0,0,0,397,46,0,0,0,0,0,0,0,0,0,0,46,24558,460,0,0,0,0,0,0,0,0,0,25018,2834,53,0,0,0,0,0,0,0,0,0,2887,"January 31, 2025"
22,Utilities,3250,89,0,0,0,0,0,0,0,0,0,3339,376,10,0,0,0,0,0,0,0,0,0,386,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,-47,-5,0,0,0,0,0,0,0,0,0,0,-5,2983,89,0,0,0,0,0,0,0,0,0,3072,344,10,0,0,0,0,0,0,0,0,0,354,"January 31, 2025"
23,Sovereign,0,71770,2294,235729,0,0,0,0,0,0,0,309793,0,8297,265,27252,0,0,0,0,0,0,0,35814,0,1375,1058,-569,0,0,0,0,0,0,0,1864,0,159,122,-66,0,0,0,0,0,0,0,215,0,-294,-449,8761,0,0,0,0,0,0,0,8018,0,-34,-52,1011,0,0,0,0,0,0,0,925,0,70538,1860,244814,0,0,0,0,0,0,0,317212,0,8141,215,28256,0,0,0,0,0,0,0,36612,"January 31, 2025"
24,Others,31727,75802,127227,0,9605,6026,2209,295,0,1980,25,254896,3668,8763,14708,0,1110,697,255,34,0,229,3,29467,-138,-2826,-6940,0,0,30,-32,-3,0,11,0,-9898,-16,-327,-802,0,0,3,-4,0,0,1,0,-1145,1348,908,2285,0,0,72,-89,-2,0,26,0,4548,156,105,264,0,0,8,-10,0,0,3,0,526,47665,77022,130761,0,9605,6046,2171,293,0,2037,25,275625,5501,8890,15092,0,1109,698,251,34,0,235,3,31813,"January 31, 2025"
,Grand Total,6799652,177717,160666,235729,55181,6026,2209,295,0,2213,25,7439713,786080,20545,18574,27252,6379,697,255,34,0,256,3,860075,-35658,-3479,-7262,-569,65,30,-32,-3,0,37,0,-46871,-4122,-402,-840,-66,8,3,-4,0,0,4,0,-5419,-42369,55,3065,8761,141,72,-89,-2,0,26,0,-30340,-4890,6,354,1011,16,8,-10,0,0,3,0,-3502,6776336,177183,165223,244814,55135,6046,2171,293,0,2273,25,7429499,782113,20450,19069,28256,6364,698,251,34,0,262,3,857500,"January 31, 2025"
