0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","January 15, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"January 15, 2015"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"January 15, 2015"
29,Transportation,30164,9,30173,4763,1,4764,269,-9,261,43,-1,41,121,-4,118,20,-1,19,31068,5,31073,5031,1,5031,"January 15, 2015"
29 a,Airlines,220,0,220,35,0,35,-5,0,-5,-1,0,-1,41,0,41,7,0,7,295,0,295,48,0,48,"January 15, 2015"
29 b,Logistics,3063,9,3071,484,1,485,145,-9,136,23,-1,22,24,-4,20,4,-1,3,3314,5,3319,537,1,537,"January 15, 2015"
29 c,Marine Port & Services,16195,0,16195,2557,0,2557,117,0,117,19,0,19,50,0,50,8,0,8,16804,0,16804,2721,0,2721,"January 15, 2015"
29 d,Roads & Highways,2622,0,2622,414,0,414,20,0,20,3,0,3,20,0,20,3,0,3,2465,0,2465,399,0,399,"January 15, 2015"
29 e,Shipping,1352,0,1352,213,0,213,14,0,14,2,0,2,-10,0,-10,-2,0,-2,1308,0,1308,212,0,212,"January 15, 2015"
29 f,Surface Transportation,44,0,44,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,45,0,45,7,0,7,"January 15, 2015"
29 g,Transport Related Services,6668,0,6668,1053,0,1053,-23,0,-23,-4,0,-4,-4,0,-4,-1,0,-1,6837,0,6837,1107,0,1107,"January 15, 2015"
30,Utilities3,68744,3200,71944,10855,505,11360,-140,116,-24,-22,18,-4,310,160,470,50,26,76,69021,3360,72380,11176,544,11720,"January 15, 2015"
31,Sovereign,0,151868,151868,0,23980,23980,0,1096,1096,0,173,173,0,3026,3026,0,490,490,0,155058,155058,0,25107,25107,"January 15, 2015"
32,Others4,277416,69628,347043,43804,10994,54798,-296,-173,-469,-47,-27,-74,-71,1541,1470,-11,250,238,286264,71473,357737,46352,11573,57925,"January 15, 2015"
,Grand Total,1955075,290202,2245276,308705,45823,354528,-6429,-109,-6538,-1015,-17,-1032,-1448,8005,6556,-235,1296,1062,2005845,299079,2304924,324787,48427,373214,"January 15, 2015"
