0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on October 31, 2012","AUC  as on October 31, 2012","AUC  as on October 31, 2012","AUC  as on October 31, 2012","AUC  as on October 31, 2012","AUC  as on October 31, 2012",Net  Investment  October 16-31 2012,Net  Investment  October 16-31 2012,Net  Investment  October 16-31 2012,Net  Investment  October 16-31 2012,Net  Investment  October 16-31 2012,Net  Investment  October 16-31 2012,"Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","November 15, 2012"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"November 15, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"November 15, 2012"
6,Commercial Services & Supplies,5532,0,5532,1022,0,1022,-2,0,-2,0,0,0,15,0,15,3,0,3,5906,0,5906,1075,0,1075,"November 15, 2012"
7,Construction Materials,27751,60,27811,5128,11,5139,30,0,30,6,0,6,128,0,128,23,0,23,27703,0,27703,5041,0,5041,"November 15, 2012"
8,Consumer Durables,9151,0,9151,1691,0,1691,-28,0,-28,-5,0,-5,11,0,11,2,0,2,9475,0,9475,1724,0,1724,"November 15, 2012"
9,Diversified2,2290,0,2290,423,0,423,-32,0,-32,-6,0,-6,-5,0,-5,-1,0,-1,2382,0,2382,433,0,433,"November 15, 2012"
10,Diversified Consumer Services,677,0,677,125,0,125,-4,0,-4,-1,0,-1,1,0,1,0,0,0,683,0,683,124,0,124,"November 15, 2012"
11,"Food, Beverages & Tobacco",67120,76,67196,12403,14,12417,191,0,191,35,0,35,125,0,125,23,0,23,70650,76,70727,12855,14,12869,"November 15, 2012"
12,Forest Materials,447,0,447,83,0,83,3,0,3,1,0,1,1,0,1,0,0,0,447,0,447,81,0,81,"November 15, 2012"
13,General Industrials,5996,0,5996,1108,0,1108,-40,0,-40,-7,0,-7,-14,0,-14,-3,0,-3,6306,0,6306,1147,0,1147,"November 15, 2012"
14,Hardware Technology & Equipment,264,0,264,49,0,49,1,0,1,0,0,0,-2,0,-2,0,0,0,240,0,240,44,0,44,"November 15, 2012"
15,Healthcare Equipment & Supplies,1161,0,1161,215,0,215,-1,0,-1,0,0,0,8,0,8,1,0,1,1124,0,1124,204,0,204,"November 15, 2012"
16,Healthcare Services,4251,125,4376,785,23,809,24,0,24,4,0,4,12,0,12,2,0,2,4332,125,4457,788,23,811,"November 15, 2012"
17,"Hotels, Restaurants & Tourism",4660,0,4660,861,0,861,11,-100,-89,2,-18,-16,13,0,13,2,0,2,4863,0,4863,885,0,885,"November 15, 2012"
18,Household & Personal Products,45955,0,45955,8492,0,8492,61,0,61,11,0,11,-86,0,-86,-16,0,-16,45623,0,45623,8301,0,8301,"November 15, 2012"
19,Media,12434,0,12434,2298,0,2298,-82,0,-82,-15,0,-15,145,190,336,26,35,61,13347,190,13537,2428,35,2463,"November 15, 2012"
20,Metals & Mining,36906,535,37441,6820,99,6918,-139,-25,-163,-26,-5,-30,163,-124,40,30,-23,7,36016,280,36296,6553,51,6604,"November 15, 2012"
