0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,289708,930,50,0,0,0,0,0,0,0,0,290688,33649,108,6,0,0,0,0,0,0,0,0,33763,-1461,0,0,0,0,0,0,0,0,0,0,-1461,-170,0,0,0,0,0,0,0,0,0,0,-170,2809,0,0,0,0,0,0,0,0,0,0,2809,328,0,0,0,0,0,0,0,0,0,0,328,313844,930,50,0,0,0,0,0,0,0,0,314824,36688,109,6,0,0,0,0,0,0,0,0,36803,"June 30,2025"
8,Diversified,4652,179,0,0,0,0,0,0,0,0,0,4831,540,21,0,0,0,0,0,0,0,0,0,561,-353,0,0,0,0,0,0,0,0,0,0,-353,-41,0,0,0,0,0,0,0,0,0,0,-41,-102,25,0,0,0,0,0,0,0,0,0,-77,-12,3,0,0,0,0,0,0,0,0,0,-9,4531,204,0,0,0,0,0,0,0,0,0,4735,530,24,0,0,0,0,0,0,0,0,0,554,"June 30,2025"
9,Fast Moving Consumer Goods,377744,104,285,0,0,0,0,0,0,0,0,378133,43874,12,33,0,0,0,0,0,0,0,0,43919,-3626,0,0,0,0,0,0,0,0,0,0,-3626,-421,0,0,0,0,0,0,0,0,0,0,-421,-359,-12,0,0,0,0,0,0,0,0,0,-371,-42,-1,0,0,0,0,0,0,0,0,0,-43,381081,92,285,0,0,0,0,0,0,0,0,381458,44548,11,33,0,0,0,0,0,0,0,0,44592,"June 30,2025"
10,Financial Services,2137234,16109,14966,0,0,0,0,0,0,470,0,2168779,248233,1871,1738,0,0,0,0,0,0,55,0,251897,4685,-700,-740,0,0,0,0,0,0,-10,0,3235,544,-81,-86,0,0,0,0,0,0,-1,0,376,4261,291,60,0,0,0,0,0,0,3,0,4615,498,34,7,0,0,0,0,0,0,0,0,539,2343322,17661,15013,0,0,0,0,0,0,487,0,2376483,273932,2065,1755,0,0,0,0,0,0,57,0,277809,"June 30,2025"
11,Forest Materials,3734,484,0,0,0,0,0,0,0,0,0,4218,434,56,0,0,0,0,0,0,0,0,0,490,-15,0,0,0,0,0,0,0,0,0,0,-15,-2,0,0,0,0,0,0,0,0,0,0,-2,-27,0,0,0,0,0,0,0,0,0,0,-27,-3,0,0,0,0,0,0,0,0,0,0,-3,3716,484,0,0,0,0,0,0,0,0,0,4200,434,57,0,0,0,0,0,0,0,0,0,491,"June 30,2025"
12,Healthcare,485293,460,1300,0,0,0,0,0,0,0,0,487053,56365,53,151,0,0,0,0,0,0,0,0,56569,39,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,0,0,0,5,-442,-43,0,0,0,0,0,0,0,0,0,-485,-52,-5,0,0,0,0,0,0,0,0,0,-57,490839,435,1300,0,0,0,0,0,0,0,0,492574,57379,51,152,0,0,0,0,0,0,0,0,57582,"June 30,2025"
13,Information Technology,599627,0,0,0,0,0,0,0,0,0,0,599627,69645,0,0,0,0,0,0,0,0,0,0,69645,-1713,0,0,0,0,0,0,0,0,0,0,-1713,-199,0,0,0,0,0,0,0,0,0,0,-199,2879,0,0,0,0,0,0,0,0,0,0,2879,336,0,0,0,0,0,0,0,0,0,0,336,607777,0,0,0,0,0,0,0,0,0,0,607777,71049,0,0,0,0,0,0,0,0,0,0,71049,"June 30,2025"
14,"Media, Entertainment & Publication",13534,0,0,0,0,0,0,0,0,0,0,13534,1572,0,0,0,0,0,0,0,0,0,0,1572,108,0,0,0,0,0,0,0,0,0,0,108,13,0,0,0,0,0,0,0,0,0,0,13,-74,0,0,0,0,0,0,0,0,0,0,-74,-9,0,0,0,0,0,0,0,0,0,0,-9,13621,0,0,0,0,0,0,0,0,0,0,13621,1592,0,0,0,0,0,0,0,0,0,0,1592,"June 30,2025"
15,Metals & Mining,196666,211,1250,0,0,0,0,0,0,0,0,198127,22842,25,145,0,0,0,0,0,0,0,0,23012,-558,100,0,0,0,0,0,0,0,0,0,-458,-65,12,0,0,0,0,0,0,0,0,0,-53,201,-10,-1250,0,0,0,0,0,0,0,0,-1059,23,-1,-146,0,0,0,0,0,0,0,0,-124,204710,201,0,0,0,0,0,0,0,0,0,204911,23930,24,0,0,0,0,0,0,0,0,0,23954,"June 30,2025"
16,"Oil, Gas & Consumable Fuels",515705,422,0,0,0,0,0,0,0,0,0,516127,59897,49,0,0,0,0,0,0,0,0,0,59946,1199,-278,0,0,0,0,0,0,0,0,0,921,139,-32,0,0,0,0,0,0,0,0,0,107,4938,0,0,0,0,0,0,0,0,0,0,4938,577,0,0,0,0,0,0,0,0,0,0,577,542676,422,0,0,0,0,0,0,0,0,0,543098,63438,49,0,0,0,0,0,0,0,0,0,63487,"June 30,2025"
17,Power,243253,3477,0,0,5637,0,0,0,0,0,0,252367,28253,404,0,0,655,0,0,0,0,0,0,29312,-3120,0,-5,0,-28,0,0,0,0,0,0,-3153,-362,0,-1,0,-3,0,0,0,0,0,0,-366,-3191,-26,0,0,19,0,0,0,0,0,0,-3198,-373,-3,0,0,2,0,0,0,0,0,0,-374,247251,3452,0,0,5609,0,0,0,0,0,0,256312,28903,404,0,0,656,0,0,0,0,0,0,29963,"June 30,2025"
18,Realty,156167,979,1033,0,24329,0,0,0,0,0,0,182508,18138,114,120,0,2826,0,0,0,0,0,0,21198,431,-2,0,0,109,0,0,0,0,0,0,538,50,0,0,0,13,0,0,0,0,0,0,63,910,-5,45,0,50,0,0,0,0,0,0,1000,106,-1,5,0,6,0,0,0,0,0,0,116,154561,974,894,0,24073,0,0,0,0,0,0,180502,18068,114,104,0,2814,0,0,0,0,0,0,21100,"June 30,2025"
19,Services,161120,3455,2874,0,3445,0,0,0,0,0,0,170894,18714,401,334,0,400,0,0,0,0,0,0,19849,403,0,0,0,0,0,0,0,0,0,0,403,47,0,0,0,0,0,0,0,0,0,0,47,-57,0,0,0,0,0,0,0,0,0,0,-57,-7,0,0,0,0,0,0,0,0,0,0,-7,172192,3455,2874,0,3468,0,0,0,0,0,0,181989,20129,404,336,0,405,0,0,0,0,0,0,21274,"June 30,2025"
20,Telecommunication,333911,121,7900,0,12096,0,0,0,0,0,0,354028,38783,14,918,0,1405,0,0,0,0,0,0,41120,-887,0,0,0,0,0,0,0,0,0,0,-887,-103,0,0,0,0,0,0,0,0,0,0,-103,3620,0,0,0,0,0,0,0,0,0,0,3620,423,0,0,0,0,0,0,0,0,0,0,423,367820,121,7900,0,11381,0,0,0,0,0,0,387222,42998,14,924,0,1330,0,0,0,0,0,0,45266,"June 30,2025"
21,Textiles,24798,460,0,0,0,0,0,0,0,0,0,25258,2880,53,0,0,0,0,0,0,0,0,0,2933,209,0,0,0,0,0,0,0,0,0,0,209,24,0,0,0,0,0,0,0,0,0,0,24,-5,0,0,0,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,0,0,-1,26087,460,0,0,0,0,0,0,0,0,0,26547,3050,54,0,0,0,0,0,0,0,0,0,3104,"June 30,2025"
22,Utilities,2582,78,0,0,0,0,0,0,0,0,0,2660,300,9,0,0,0,0,0,0,0,0,0,309,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,-36,-4,0,0,0,0,0,0,0,0,0,0,-4,2480,78,0,0,0,0,0,0,0,0,0,2558,290,9,0,0,0,0,0,0,0,0,0,299,"June 30,2025"
23,Sovereign,0,55830,447,252524,0,0,0,0,0,0,0,308801,0,6484,52,29330,0,0,0,0,0,0,0,35866,0,1319,36,-13221,0,0,0,0,0,0,0,-11866,0,153,4,-1536,0,0,0,0,0,0,0,-1379,0,-35,-29,3181,0,0,0,0,0,0,0,3117,0,-4,-3,372,0,0,0,0,0,0,0,365,0,56061,468,254079,0,0,0,0,0,0,0,310608,0,6553,55,29702,0,0,0,0,0,0,0,36310,"June 30,2025"
24,Others,179804,91065,131869,0,9605,6281,1922,252,0,2937,25,423760,20884,10577,15316,0,1116,730,223,29,0,341,3,49219,-348,-7757,-5812,0,0,258,67,-4,0,26,0,-13570,-40,-901,-675,0,0,30,8,0,0,3,0,-1575,1453,771,1330,0,0,171,-298,2,0,9,0,3438,170,90,156,0,0,20,-35,0,0,1,0,402,55438,91727,135350,0,9605,6622,1607,257,0,2678,25,303309,6481,10723,15822,0,1123,774,188,30,0,313,3,35457,"June 30,2025"
,Grand Total,7151924,176360,162756,252524,55202,6281,1922,252,0,3408,25,7810654,830673,20484,18904,29330,6412,730,223,29,0,396,3,907184,-5402,-7322,-6521,-13221,81,258,67,-4,0,16,0,-32048,-627,-850,-757,-1536,9,30,8,0,0,2,0,-3721,19992,1200,156,3181,70,171,-298,2,0,12,0,24486,2337,140,18,372,8,20,-35,0,0,1,0,2861,7418858,178997,164915,254079,54226,6622,1607,257,0,3164,25,8082750,867257,20925,19278,29702,6339,774,188,30,0,370,3,944866,"June 30,2025"
