0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","November 30, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"November 30, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"November 30, 2019"
21,Media,21755,204,0,21959,3034,28,0,3062,110,3,0,113,15,0,0,15,4189,-1,0,4188,584,0,0,584,26104,207,0,26311,3639,29,0,3668,"November 30, 2019"
22,Metals & Mining,42315,591,0,42906,5901,82,0,5983,156,0,0,156,22,0,0,22,32,-10,0,22,5,-1,0,4,44723,553,0,45276,6235,77,0,6312,"November 30, 2019"
23,Oil & Gas,290337,5272,0,295609,40487,735,0,41222,3327,-163,0,3164,464,-23,0,441,844,-359,0,485,118,-50,0,68,303096,4916,0,308012,42258,685,0,42943,"November 30, 2019"
24,Pharmaceuticals & Biotechnology,99740,500,0,100240,13909,70,0,13979,-1006,0,0,-1006,-140,0,0,-140,-148,0,0,-148,-21,0,0,-21,104545,500,0,105045,14576,70,0,14646,"November 30, 2019"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"November 30, 2019"
26,Realty,29697,572,0,30269,4141,80,0,4221,242,0,0,242,34,0,0,34,273,0,0,273,38,0,0,38,30695,572,0,31267,4280,80,0,4360,"November 30, 2019"
27,Retailing,33532,150,0,33682,4676,21,0,4697,89,0,0,89,12,0,0,12,237,0,0,237,33,0,0,33,34110,150,0,34260,4756,21,0,4777,"November 30, 2019"
28,Software & Services,329990,0,0,329990,46017,0,0,46017,-800,0,0,-800,-112,0,0,-112,-1251,0,0,-1251,-174,0,0,-174,319532,0,0,319532,44549,0,0,44549,"November 30, 2019"
29,Telecom Services,57881,557,0,58438,8071,78,0,8149,116,-5,0,111,16,-1,0,15,-438,0,0,-438,-61,0,0,-61,67527,557,0,68084,9415,78,0,9493,"November 30, 2019"
30,Telecommunications Equipment,151,0,0,151,21,0,0,21,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,154,21,0,0,21,"November 30, 2019"
31,"Textiles, Apparels & Accessories",40087,0,0,40087,5590,0,0,5590,-640,0,0,-640,-89,0,0,-89,-307,0,0,-307,-43,0,0,-43,38817,0,0,38817,5412,0,0,5412,"November 30, 2019"
32,Transportation,41327,699,0,42026,5763,97,0,5860,-266,0,0,-266,-37,0,0,-37,-630,0,0,-630,-88,0,0,-88,41642,699,0,42341,5806,97,0,5903,"November 30, 2019"
32 a,Airlines,9070,699,0,9769,1265,97,0,1362,49,0,0,49,7,0,0,7,-194,0,0,-194,-27,0,0,-27,8791,699,0,9490,1226,97,0,1323,"November 30, 2019"
32 b,Logistics,1603,0,0,1603,224,0,0,224,-11,0,0,-11,-2,0,0,-2,-61,0,0,-61,-8,0,0,-8,1589,0,0,1589,222,0,0,222,"November 30, 2019"
32 c,Marine Port & Services,15788,0,0,15788,2202,0,0,2202,-251,0,0,-251,-35,0,0,-35,-219,0,0,-219,-31,0,0,-31,16234,0,0,16234,2263,0,0,2263,"November 30, 2019"
32 d,Roads & Highways,1641,0,0,1641,229,0,0,229,-11,0,0,-11,-2,0,0,-2,-16,0,0,-16,-2,0,0,-2,1693,0,0,1693,236,0,0,236,"November 30, 2019"
32 e,Shipping,1184,0,0,1184,165,0,0,165,6,0,0,6,1,0,0,1,15,0,0,15,2,0,0,2,1271,0,0,1271,177,0,0,177,"November 30, 2019"
32 f,Surface Transportation,40,0,0,40,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,5,0,0,5,"November 30, 2019"
32 g,Transport Related Services,9504,0,0,9504,1325,0,0,1325,-37,0,0,-37,-5,0,0,-5,-117,0,0,-117,-16,0,0,-16,9537,0,0,9537,1330,0,0,1330,"November 30, 2019"
32 h,Airport Services,2495,0,0,2495,348,0,0,348,-10,0,0,-10,-1,0,0,-1,-38,0,0,-38,-5,0,0,-5,2488,0,0,2488,347,0,0,347,"November 30, 2019"
33,Utilities3,83795,4052,0,87847,11685,565,0,12250,-594,19,0,-575,-83,3,0,-80,-140,-194,0,-334,-20,-27,0,-47,85406,3727,0,89133,11907,520,0,12427,"November 30, 2019"
34,Sovereign,0,224643,0,224643,0,31326,0,31326,0,8191,0,8191,0,1142,0,1142,0,-3401,0,-3401,0,-474,0,-474,0,220957,0,220957,0,30806,0,30806,"November 30, 2019"
35,Others4,16086,155520,2961,174567,2243,21687,413,24343,5190,-213,0,4977,724,-30,0,694,410,-350,0,60,57,-49,0,8,15866,155211,2961,174038,2212,21640,413,24265,"November 30, 2019"
,Grand Total,2979794,442799,12389,3434982,415529,61748,1728,479005,14436,4767,48,19251,2013,665,7,2685,10795,-7125,78,3748,1505,-993,11,523,3040695,435258,12898,3488851,423935,60684,1798,486417,"November 30, 2019"
