0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","December 15, 2014"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"December 15, 2014"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"December 15, 2014"
29,Transportation,27891,26,27916,4500,4,4505,-146,0,-146,-24,0,-24,161,-8,153,26,-1,24,27448,20,27468,4381,3,4384,"December 15, 2014"
29 a,Airlines,143,0,143,23,0,23,7,0,7,1,0,1,59,0,59,9,0,9,219,0,219,35,0,35,"December 15, 2014"
29 b,Logistics,2627,26,2653,424,4,428,-41,0,-41,-7,0,-7,52,-8,44,8,-1,7,2694,20,2714,430,3,433,"December 15, 2014"
29 c,Marine Port & Services,14245,0,14245,2299,0,2299,25,0,25,4,0,4,67,0,67,11,0,11,14227,0,14227,2271,0,2271,"December 15, 2014"
29 d,Roads & Highways,2655,0,2655,428,0,428,31,0,31,5,0,5,-5,0,-5,-1,0,-1,2442,0,2442,390,0,390,"December 15, 2014"
29 e,Shipping,1458,0,1458,235,0,235,-41,0,-41,-7,0,-7,4,0,4,1,0,1,1398,0,1398,223,0,223,"December 15, 2014"
29 f,Surface Transportation,44,0,44,7,0,7,1,0,1,0,0,0,4,0,4,1,0,1,43,0,43,7,0,7,"December 15, 2014"
29 g,Transport Related Services,6718,0,6718,1084,0,1084,-126,0,-126,-20,0,-20,-19,0,-19,-3,0,-3,6426,0,6426,1026,0,1026,"December 15, 2014"
30,Utilities3,72047,2721,74768,11625,439,12065,74,489,563,12,79,91,-189,357,168,-30,57,27,66065,3085,69150,10545,492,11037,"December 15, 2014"
31,Sovereign,0,146115,146115,0,23577,23577,0,-274,-274,0,-44,-44,0,4549,4549,0,726,726,0,150938,150938,0,24091,24091,"December 15, 2014"
32,Others4,180521,67731,248252,29129,10929,40058,830,3597,4427,134,580,714,765,1659,2425,122,265,387,263798,69890,333688,42105,11155,53260,"December 15, 2014"
,Grand Total,1989794,278236,2268031,321071,44896,365967,4239,7278,11517,684,1174,1858,7466,11297,18762,1192,1803,2995,1925681,289904,2215585,307357,46271,353628,"December 15, 2014"
