0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","September 30, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 30, 2018"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"September 30, 2018"
21,Media,28607,340,0,28947,3984,47,0,4031,-133,0,0,-133,-19,0,0,-19,252,0,0,252,35,0,0,35,26445,341,0,26786,3645,47,0,3692,"September 30, 2018"
22,Metals & Mining,71065,651,0,71716,9896,91,0,9987,-344,-1,0,-345,-48,0,0,-48,659,-3,0,656,91,0,0,91,67264,648,0,67912,9272,89,0,9361,"September 30, 2018"
23,Oil & Gas,246234,1842,0,248076,34288,256,0,34544,-493,-58,0,-551,-69,-8,0,-77,392,-52,0,340,54,-7,0,47,246868,1785,0,248653,34028,246,0,34274,"September 30, 2018"
24,Pharmaceuticals & Biotechnology,134479,0,0,134479,18726,0,0,18726,-18,0,0,-18,-2,0,0,-2,433,0,0,433,60,0,0,60,125137,0,0,125137,17249,0,0,17249,"September 30, 2018"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"September 30, 2018"
26,Realty,25227,522,0,25749,3513,73,0,3586,-136,0,0,-136,-19,0,0,-19,6,0,0,6,1,0,0,1,21131,522,0,21653,2913,72,0,2985,"September 30, 2018"
27,Retailing,28222,300,0,28522,3930,42,0,3972,-101,0,0,-101,-14,0,0,-14,-180,0,0,-180,-25,0,0,-25,24734,300,0,25034,3409,41,0,3450,"September 30, 2018"
28,Software & Services,370268,0,0,370268,51560,0,0,51560,2041,0,0,2041,284,0,0,284,-3109,0,0,-3109,-429,0,0,-429,367508,0,0,367508,50658,0,0,50658,"September 30, 2018"
29,Telecom Services,59627,1826,0,61453,8303,254,0,8557,2,0,0,2,0,0,0,0,-56,-4,0,-60,-8,0,0,-8,53847,1826,0,55673,7422,252,0,7674,"September 30, 2018"
30,Telecommunications Equipment,230,0,0,230,32,0,0,32,12,0,0,12,2,0,0,2,-5,0,0,-5,-1,0,0,-1,192,0,0,192,27,0,0,27,"September 30, 2018"
31,"Textiles, Apparels & Accessories",45036,0,0,45036,6271,0,0,6271,143,0,0,143,20,0,0,20,15,0,0,15,2,0,0,2,41836,0,0,41836,5767,0,0,5767,"September 30, 2018"
32,Transportation,31312,699,0,32011,4360,97,0,4457,-223,0,0,-223,-31,0,0,-31,-145,0,0,-145,-20,0,0,-20,27363,699,0,28062,3772,96,0,3868,"September 30, 2018"
32 a,Airlines,5445,699,0,6144,758,97,0,855,-41,0,0,-41,-6,0,0,-6,19,0,0,19,3,0,0,3,5047,699,0,5746,696,96,0,792,"September 30, 2018"
32 b,Logistics,1773,0,0,1773,247,0,0,247,-12,0,0,-12,-2,0,0,-2,-1,0,0,-1,0,0,0,0,1546,0,0,1546,213,0,0,213,"September 30, 2018"
32 c,Marine Port & Services,19230,0,0,19230,2678,0,0,2678,-120,0,0,-120,-17,0,0,-17,-156,0,0,-156,-22,0,0,-22,16604,0,0,16604,2289,0,0,2289,"September 30, 2018"
32 d,Roads & Highways,3390,0,0,3390,472,0,0,472,-30,0,0,-30,-4,0,0,-4,10,0,0,10,1,0,0,1,2816,0,0,2816,388,0,0,388,"September 30, 2018"
32 e,Shipping,1232,0,0,1232,172,0,0,172,-13,0,0,-13,-2,0,0,-2,-14,0,0,-14,-2,0,0,-2,1159,0,0,1159,160,0,0,160,"September 30, 2018"
32 f,Surface Transportation,55,0,0,55,8,0,0,8,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,44,0,0,44,6,0,0,6,"September 30, 2018"
32 g,Transport Related Services,187,0,0,187,26,0,0,26,-7,0,0,-7,-1,0,0,-1,-1,0,0,-1,0,0,0,0,147,0,0,147,20,0,0,20,"September 30, 2018"
33,Utilities3,86074,5804,0,91878,11986,808,0,12794,365,-447,0,-82,51,-62,0,-11,388,-47,0,341,54,-6,0,48,80199,5757,0,85956,11055,794,0,11849,"September 30, 2018"
34,Sovereign,0,210489,0,210489,0,29311,0,29311,0,-1959,0,-1959,0,-273,0,-273,0,-3417,0,-3417,0,-471,0,-471,0,207534,0,207534,0,28607,0,28607,"September 30, 2018"
35,Others4,68759,126678,2280,197717,9575,17640,318,27533,-766,-860,-2,-1628,-107,-120,0,-227,468,31,-10,489,64,4,-1,67,62557,126500,2211,191268,8623,17437,305,26365,"September 30, 2018"
,Grand Total,2940515,410826,2280,3353621,409469,57208,318,466995,-4318,-5088,-2,-9408,-601,-709,0,-1310,-6507,-5110,-10,-11627,-897,-704,-1,-1602,2730062,406061,2211,3138334,376314,55972,305,432591,"September 30, 2018"
