0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","June 30, 2012"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"June 30, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"June 30, 2012"
28,"Textiles,  Apparels & Accessories",13448,0,13448,2412,0,2412,30,0,30,5,0,5,-2,0,-2,0,0,0,13951,0,13951,2478,0,2478,"June 30, 2012"
29,Transportation,9104,0,9104,1633,0,1633,97,0,97,17,0,17,-1,0,-1,0,0,0,9478,0,9478,1683,0,1683,"June 30, 2012"
29 a,Airlines,289,0,289,52,0,52,19,0,19,3,0,3,1,0,1,0,0,0,301,0,301,53,0,53,"June 30, 2012"
29 b,Logistics,725,0,725,130,0,130,-10,0,-10,-2,0,-2,-1,0,-1,0,0,0,746,0,746,133,0,133,"June 30, 2012"
29 c,Marine Port & Services,3296,0,3296,591,0,591,30,0,30,5,0,5,-5,0,-5,-1,0,-1,3430,0,3430,609,0,609,"June 30, 2012"
29 d,Roads & Highways,853,0,853,153,0,153,34,0,34,6,0,6,-2,0,-3,0,0,0,874,0,874,155,0,155,"June 30, 2012"
29 e,Shipping,983,0,983,176,0,176,3,0,3,1,0,1,6,0,6,1,0,1,971,0,971,172,0,172,"June 30, 2012"
29 f,Surface Transportation,28,0,28,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,5,0,5,"June 30, 2012"
29 g,Transport Related Services,2931,0,2931,526,0,526,21,0,21,4,0,4,-1,0,-1,0,0,0,3128,0,3128,556,0,556,"June 30, 2012"
30,Utilities3,33083,464,33546,5933,83,6016,32,98,130,6,18,23,190,-5,185,34,-1,33,35636,459,36094,6329,81,6410,"June 30, 2012"
31,Sovereign,0,59134,59134,0,10604,10604,0,878,878,0,158,158,0,106,106,0,19,19,0,59363,59363,0,10542,10542,"June 30, 2012"
32,Others4,11314,51644,62958,2029,9261,11290,-212,3483,3271,-38,625,587,-14,454,440,-2,81,78,11370,52387,63757,2019,9304,11323,"June 30, 2012"
,Grand  Total,909034,155415,1064449,163017,27871,190888,-186,1207,1021,-33,217,183,-315,473,158,-56,84,28,935785,156349,1092135,166188,27766,193954,"June 30, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
"1 ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
