0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,332209,1099,670,0,0,0,0,0,0,0,0,333978,39316,130,79,0,0,0,0,0,0,0,0,39525,471,0,0,0,0,0,0,0,0,0,0,471,56,0,0,0,0,0,0,0,0,0,0,56,2715,0,0,0,0,0,0,0,0,0,0,2715,320,0,0,0,0,0,0,0,0,0,0,320,347250,1099,670,0,0,0,0,0,0,0,0,349019,40930,130,79,0,0,0,0,0,0,0,0,41139,"December 15, 2024"
8,Diversified,7340,306,0,0,0,0,0,0,0,0,0,7646,869,36,0,0,0,0,0,0,0,0,0,905,-6,100,0,0,0,0,0,0,0,0,0,94,-1,12,0,0,0,0,0,0,0,0,0,11,-96,0,0,0,0,0,0,0,0,0,0,-96,-11,0,0,0,0,0,0,0,0,0,0,-11,7652,306,0,0,0,0,0,0,0,0,0,7958,902,36,0,0,0,0,0,0,0,0,0,938,"December 15, 2024"
9,Fast Moving Consumer Goods,421944,115,285,0,0,0,0,0,0,0,0,422344,49936,14,34,0,0,0,0,0,0,0,0,49984,2184,0,0,0,0,0,0,0,0,0,0,2184,258,0,0,0,0,0,0,0,0,0,0,258,-1655,0,0,0,0,0,0,0,0,0,0,-1655,-195,0,0,0,0,0,0,0,0,0,0,-195,412983,115,285,0,0,0,0,0,0,0,0,413383,48677,14,34,0,0,0,0,0,0,0,0,48725,"December 15, 2024"
10,Financial Services,2080522,20955,17878,0,0,0,0,0,0,266,0,2119621,246224,2480,2116,0,0,0,0,0,0,32,0,250852,9597,-1280,222,0,0,0,0,0,0,0,0,8539,1136,-151,26,0,0,0,0,0,0,0,0,1011,7424,377,-672,0,0,0,0,0,0,0,0,7129,875,44,-79,0,0,0,0,0,0,0,0,840,2160433,21249,17175,0,0,0,0,0,0,273,0,2199130,254645,2505,2024,0,0,0,0,0,0,32,0,259206,"December 15, 2024"
11,Forest Materials,4354,415,0,0,0,0,0,0,0,0,0,4769,515,49,0,0,0,0,0,0,0,0,0,564,29,-10,0,0,0,0,0,0,0,0,0,19,3,-1,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,4,4478,415,0,0,0,0,0,0,0,0,0,4893,528,49,0,0,0,0,0,0,0,0,0,577,"December 15, 2024"
12,Healthcare,481947,394,0,0,0,0,0,0,0,0,0,482341,57037,47,0,0,0,0,0,0,0,0,0,57084,-254,0,0,0,0,0,0,0,0,0,0,-254,-30,0,0,0,0,0,0,0,0,0,0,-30,1917,0,0,0,0,0,0,0,0,0,0,1917,226,0,0,0,0,0,0,0,0,0,0,226,492833,383,0,0,0,0,0,0,0,0,0,493216,58089,45,0,0,0,0,0,0,0,0,0,58134,"December 15, 2024"
13,Information Technology,714024,0,11,0,0,0,0,0,0,0,0,714035,84503,0,1,0,0,0,0,0,0,0,0,84504,2429,0,0,0,0,0,0,0,0,0,0,2429,287,0,0,0,0,0,0,0,0,0,0,287,6754,0,0,0,0,0,0,0,0,0,0,6754,796,0,0,0,0,0,0,0,0,0,0,796,767699,0,11,0,0,0,0,0,0,0,0,767710,90487,0,1,0,0,0,0,0,0,0,0,90488,"December 15, 2024"
14,"Media, Entertainment & Publication",13689,0,5,0,0,0,0,0,0,0,0,13694,1620,0,1,0,0,0,0,0,0,0,0,1621,-55,0,-20,0,0,0,0,0,0,0,0,-75,-6,0,-2,0,0,0,0,0,0,0,0,-8,15,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,2,13557,0,5,0,0,0,0,0,0,0,0,13562,1598,0,1,0,0,0,0,0,0,0,0,1599,"December 15, 2024"
15,Metals & Mining,201724,194,1250,0,0,0,0,0,0,0,0,203168,23873,23,148,0,0,0,0,0,0,0,0,24044,86,28,0,0,0,0,0,0,0,0,0,114,10,3,0,0,0,0,0,0,0,0,0,13,847,-30,0,0,0,0,0,0,0,0,0,817,100,-3,0,0,0,0,0,0,0,0,0,97,211366,164,1250,0,0,0,0,0,0,0,0,212780,24913,19,147,0,0,0,0,0,0,0,0,25079,"December 15, 2024"
16,"Oil, Gas & Consumable Fuels",504606,390,0,0,0,0,0,0,0,0,0,504996,59719,46,0,0,0,0,0,0,0,0,0,59765,-6132,0,0,0,0,0,0,0,0,0,0,-6132,-726,0,0,0,0,0,0,0,0,0,0,-726,-5337,0,0,0,0,0,0,0,0,0,0,-5337,-629,0,0,0,0,0,0,0,0,0,0,-629,494622,390,0,0,0,0,0,0,0,0,0,495012,58300,46,0,0,0,0,0,0,0,0,0,58346,"December 15, 2024"
17,Power,284054,3329,64,0,5946,0,0,0,0,0,0,293393,33617,394,8,0,704,0,0,0,0,0,0,34723,109,0,0,0,38,0,0,0,0,0,0,147,13,0,0,0,4,0,0,0,0,0,0,17,-552,0,-17,0,-9,0,0,0,0,0,0,-578,-65,0,-2,0,-1,0,0,0,0,0,0,-68,282933,3330,64,0,5949,0,0,0,0,0,0,292276,33349,392,8,0,701,0,0,0,0,0,0,34450,"December 15, 2024"
18,Realty,158843,1006,1258,0,25074,0,0,0,0,0,0,186181,18799,119,149,0,2967,0,0,0,0,0,0,22034,1367,0,386,0,-133,0,0,0,0,0,0,1620,162,0,46,0,-16,0,0,0,0,0,0,192,4689,-2,0,0,-44,0,0,0,0,0,0,4643,552,0,0,0,-5,0,0,0,0,0,0,547,174609,1008,1254,0,25029,0,0,0,0,0,0,201900,20581,119,148,0,2950,0,0,0,0,0,0,23798,"December 15, 2024"
19,Services,138742,2726,1002,0,3952,0,0,0,0,0,0,146422,16420,323,119,0,468,0,0,0,0,0,0,17330,-2472,0,0,0,-3,0,0,0,0,0,0,-2475,-293,0,0,0,0,0,0,0,0,0,0,-293,553,0,0,0,2,0,0,0,0,0,0,555,65,0,0,0,0,0,0,0,0,0,0,65,144261,2726,1002,0,3994,0,0,0,0,0,0,151983,17004,321,118,0,471,0,0,0,0,0,0,17914,"December 15, 2024"
20,Telecommunication,279231,119,7900,0,12337,0,0,0,0,0,0,299587,33046,14,935,0,1460,0,0,0,0,0,0,35455,-2942,-56,0,0,0,0,0,0,0,0,0,-2998,-348,-7,0,0,0,0,0,0,0,0,0,-355,627,0,0,0,0,0,0,0,0,0,0,627,74,0,0,0,0,0,0,0,0,0,0,74,288097,118,7900,0,12257,0,0,0,0,0,0,308372,33957,14,931,0,1445,0,0,0,0,0,0,36347,"December 15, 2024"
21,Textiles,24880,460,0,0,0,0,0,0,0,0,0,25340,2944,54,0,0,0,0,0,0,0,0,0,2998,320,0,0,0,0,0,0,0,0,0,0,320,38,0,0,0,0,0,0,0,0,0,0,38,138,0,0,0,0,0,0,0,0,0,0,138,16,0,0,0,0,0,0,0,0,0,0,16,27545,460,0,0,0,0,0,0,0,0,0,28005,3247,54,0,0,0,0,0,0,0,0,0,3301,"December 15, 2024"
22,Utilities,3460,89,0,0,0,0,0,0,0,0,0,3549,409,11,0,0,0,0,0,0,0,0,0,420,89,-6,0,0,0,0,0,0,0,0,0,83,11,-1,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,2,3644,89,0,0,0,0,0,0,0,0,0,3733,430,10,0,0,0,0,0,0,0,0,0,440,"December 15, 2024"
23,Sovereign,0,70944,362,226077,0,0,0,0,0,0,0,297383,0,8396,43,26756,0,0,0,0,0,0,0,35195,0,2140,-23,430,0,0,0,0,0,0,0,2547,0,253,-3,51,0,0,0,0,0,0,0,301,0,1655,69,8226,0,0,0,0,0,0,0,9950,0,195,8,970,0,0,0,0,0,0,0,1173,0,72985,429,237280,0,0,0,0,0,0,0,310694,0,8603,51,27968,0,0,0,0,0,0,0,36622,"December 15, 2024"
24,Others,28935,74659,134412,0,9517,6365,2652,289,0,2080,25,258934,3424,8836,15907,0,1126,753,314,34,0,246,3,30643,-44,272,2107,0,0,-303,142,65,0,7,0,2246,-5,32,249,0,0,-36,17,8,0,1,0,266,2974,2818,-46,0,0,-289,-483,-4,0,6,0,4976,350,332,-5,0,0,-34,-57,0,0,1,0,587,33757,77337,134499,0,9578,6193,1997,288,0,2142,25,265816,3979,9115,15853,0,1129,730,235,34,0,252,3,31330,"December 15, 2024"
,Grand Total,7187992,179359,166118,226077,56827,6365,2652,289,0,2346,25,7828050,850679,21227,19660,26756,6725,753,314,34,0,278,3,926429,808,1175,2673,430,-98,-303,142,65,0,7,0,4899,96,139,316,51,-12,-36,17,8,0,1,0,580,22766,4814,-666,8226,-51,-289,-483,-4,0,6,0,34319,2683,567,-79,970,-6,-34,-57,0,0,1,0,4045,7423155,184330,165506,237280,56807,6193,1997,288,0,2414,25,8077995,874948,21727,19508,27968,6696,730,235,34,0,285,3,952134,"December 15, 2024"
