0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","AUC as on January 15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 01-15, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","Net Investment January 16-31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","AUC as on January 31, 2023","January 31, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"January 31, 2023"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"January 31, 2023"
1,Automobile and Auto Components,261486,0,21,0,261507,32111,0,3,0,32114,-1065,0,0,0,-1065,-131,0,0,0,-131,2089,0,0,0,2089,256,0,0,0,256,272312,0,11,0,272323,33315,0,2,0,33317,"January 31, 2023"
2,Capital Goods,130892,482,0,0,131374,16074,59,0,0,16133,168,-1,0,0,167,21,0,0,0,21,-254,0,0,0,-254,-31,0,0,0,-31,130782,402,0,0,131184,16000,49,0,0,16049,"January 31, 2023"
3,Chemicals,98692,0,0,0,98692,12119,0,0,0,12119,-435,0,0,0,-435,-53,0,0,0,-53,-311,0,0,0,-311,-38,0,0,0,-38,95788,0,0,0,95788,11719,0,0,0,11719,"January 31, 2023"
4,Construction,77599,623,2178,0,80400,9529,77,268,0,9874,390,0,0,0,390,48,0,0,0,48,1201,0,-30,0,1171,147,0,-4,0,143,77749,623,2178,0,80550,9512,76,266,0,9854,"January 31, 2023"
5,Construction Materials,83547,924,1007,0,85478,10260,114,124,0,10498,223,0,0,0,223,27,0,0,0,27,-484,56,-56,0,-484,-59,7,-7,0,-59,77538,986,951,0,79475,9486,121,116,0,9723,"January 31, 2023"
6,Consumer Durables,156655,0,0,0,156655,19237,0,0,0,19237,-864,0,0,0,-864,-106,0,0,0,-106,-1913,0,0,0,-1913,-234,0,0,0,-234,149353,0,0,0,149353,18272,0,0,0,18272,"January 31, 2023"
7,Consumer Services,110006,479,495,0,110980,13509,59,61,0,13629,-375,0,0,0,-375,-46,0,0,0,-46,-1185,0,0,0,-1185,-145,0,0,0,-145,104336,419,495,0,105250,12765,52,61,0,12878,"January 31, 2023"
8,Diversified,3112,203,0,0,3315,382,25,0,0,407,87,0,0,0,87,11,0,0,0,11,3,0,0,0,3,0,0,0,0,0,3080,203,0,0,3283,377,25,0,0,402,"January 31, 2023"
9,Fast Moving Consumer Goods,323334,160,128,0,323622,39706,20,16,0,39742,-412,0,0,0,-412,-51,0,0,0,-51,-495,0,0,0,-495,-61,0,0,0,-61,322753,161,128,0,323042,39486,20,16,0,39522,"January 31, 2023"
