0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,307682,930,50,0,0,0,0,0,0,0,0,308662,35849,108,6,0,0,0,0,0,0,0,0,35963,953,-4,0,0,0,0,0,0,0,0,0,949,111,-1,0,0,0,0,0,0,0,0,0,110,2064,-72,0,0,0,0,0,0,0,0,0,1992,236,-8,0,0,0,0,0,0,0,0,0,228,322786,920,50,0,0,0,0,0,0,0,0,323756,36867,105,6,0,0,0,0,0,0,0,0,36978,"July 31,2025"
8,Diversified,4433,204,0,0,0,0,0,0,0,0,0,4637,517,24,0,0,0,0,0,0,0,0,0,541,-22,0,0,0,0,0,0,0,0,0,0,-22,-3,0,0,0,0,0,0,0,0,0,0,-3,-35,0,0,0,0,0,0,0,0,0,0,-35,-4,0,0,0,0,0,0,0,0,0,0,-4,4504,204,0,0,0,0,0,0,0,0,0,4708,514,23,0,0,0,0,0,0,0,0,0,537,"July 31,2025"
9,Fast Moving Consumer Goods,392609,92,285,0,0,0,0,0,0,0,0,392986,45745,11,33,0,0,0,0,0,0,0,0,45789,-1428,0,0,0,0,0,0,0,0,0,0,-1428,-166,0,0,0,0,0,0,0,0,0,0,-166,2986,0,0,0,0,0,0,0,0,0,0,2986,341,0,0,0,0,0,0,0,0,0,0,341,398986,92,285,0,0,0,0,0,0,0,0,399363,45570,11,33,0,0,0,0,0,0,0,0,45614,"July 31,2025"
10,Financial Services,2325641,18141,15100,0,0,0,0,0,0,504,0,2359386,270971,2114,1759,0,0,0,0,0,0,59,0,274903,820,991,-359,0,0,0,0,0,0,6,0,1458,96,115,-42,0,0,0,0,0,0,1,0,170,-6720,-262,-861,0,0,0,0,0,0,2,0,-7841,-767,-30,-98,0,0,0,0,0,0,0,0,-895,2277046,17799,14223,0,0,0,0,0,0,496,0,2309564,260072,2033,1625,0,0,0,0,0,0,57,0,263787,"July 31,2025"
11,Forest Materials,3578,484,0,0,0,0,0,0,0,0,0,4062,417,56,0,0,0,0,0,0,0,0,0,473,14,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,3,3144,484,0,0,0,0,0,0,0,0,0,3628,359,55,0,0,0,0,0,0,0,0,0,414,"July 31,2025"
12,Healthcare,500962,435,1300,0,0,0,0,0,0,0,0,502697,58369,51,151,0,0,0,0,0,0,0,0,58571,-757,0,0,0,0,0,0,0,0,0,0,-757,-88,0,0,0,0,0,0,0,0,0,0,-88,700,0,0,0,0,0,0,0,0,0,0,700,80,0,0,0,0,0,0,0,0,0,0,80,503415,435,1300,0,0,0,0,0,0,0,0,505150,57497,50,148,0,0,0,0,0,0,0,0,57695,"July 31,2025"
13,Information Technology,578096,0,0,0,0,0,0,0,0,0,0,578096,67357,0,0,0,0,0,0,0,0,0,0,67357,-5479,0,0,0,0,0,0,0,0,0,0,-5479,-638,0,0,0,0,0,0,0,0,0,0,-638,-14422,0,0,0,0,0,0,0,0,0,0,-14422,-1647,0,0,0,0,0,0,0,0,0,0,-1647,530868,0,0,0,0,0,0,0,0,0,0,530868,60633,0,0,0,0,0,0,0,0,0,0,60633,"July 31,2025"
14,"Media, Entertainment & Publication",13492,0,0,0,0,0,0,0,0,0,0,13492,1572,0,0,0,0,0,0,0,0,0,0,1572,-91,0,0,0,0,0,0,0,0,0,0,-91,-11,0,0,0,0,0,0,0,0,0,0,-11,-106,0,0,0,0,0,0,0,0,0,0,-106,-12,0,0,0,0,0,0,0,0,0,0,-12,12597,0,0,0,0,0,0,0,0,0,0,12597,1439,0,0,0,0,0,0,0,0,0,0,1439,"July 31,2025"
15,Metals & Mining,203647,186,0,0,0,0,0,0,0,0,0,203833,23728,22,0,0,0,0,0,0,0,0,0,23750,1724,-15,0,0,0,0,0,0,0,0,0,1709,201,-2,0,0,0,0,0,0,0,0,0,199,1641,76,0,0,0,0,0,0,0,0,0,1717,187,9,0,0,0,0,0,0,0,0,0,196,203138,261,0,0,0,0,0,0,0,0,0,203399,23201,30,0,0,0,0,0,0,0,0,0,23231,"July 31,2025"
16,"Oil, Gas & Consumable Fuels",540234,369,0,0,0,0,0,0,0,0,0,540603,62945,43,0,0,0,0,0,0,0,0,0,62988,905,-51,0,0,0,0,0,0,0,0,0,854,105,-6,0,0,0,0,0,0,0,0,0,99,-4177,-27,0,0,0,0,0,0,0,0,0,-4204,-477,-3,0,0,0,0,0,0,0,0,0,-480,505294,342,0,0,0,0,0,0,0,0,0,505636,57712,39,0,0,0,0,0,0,0,0,0,57751,"July 31,2025"
17,Power,249685,3408,0,0,5775,0,0,0,0,0,0,258868,29092,397,0,0,673,0,0,0,0,0,0,30162,203,-44,0,0,6,0,0,0,0,0,0,165,24,-5,0,0,1,0,0,0,0,0,0,20,-141,0,0,0,-20,0,0,0,0,0,0,-161,-16,0,0,0,-2,0,0,0,0,0,0,-18,240892,3408,0,0,5776,0,0,0,0,0,0,250076,27513,389,0,0,660,0,0,0,0,0,0,28562,"July 31,2025"
18,Realty,154130,1073,887,0,23861,0,0,0,0,0,0,179951,17958,125,103,0,2780,0,0,0,0,0,0,20966,-249,97,-180,0,-420,0,0,0,0,0,0,-752,-29,11,-21,0,-49,0,0,0,0,0,0,-88,-3684,0,0,0,27,0,0,0,0,0,0,-3657,-421,0,0,0,3,0,0,0,0,0,0,-418,138735,1073,879,0,24145,0,0,0,0,0,0,164832,15846,123,100,0,2758,0,0,0,0,0,0,18827,"July 31,2025"
19,Services,176066,3453,2874,0,3493,0,0,0,0,0,0,185886,20514,402,335,0,407,0,0,0,0,0,0,21658,2733,-2,0,0,3,0,0,0,0,0,0,2734,318,0,0,0,0,0,0,0,0,0,0,318,724,-9,0,0,-61,0,0,0,0,0,0,654,83,-1,0,0,-7,0,0,0,0,0,0,75,171375,3444,2874,0,3434,0,0,0,0,0,0,181127,19574,393,328,0,392,0,0,0,0,0,0,20687,"July 31,2025"
20,Telecommunication,355140,121,7900,0,11894,0,0,0,0,0,0,375055,41379,14,920,0,1386,0,0,0,0,0,0,43699,283,0,0,0,0,0,0,0,0,0,0,283,33,0,0,0,0,0,0,0,0,0,0,33,1190,0,0,0,0,0,0,0,0,0,0,1190,136,0,0,0,0,0,0,0,0,0,0,136,349013,121,7900,0,12088,0,0,0,0,0,0,369122,39862,14,902,0,1381,0,0,0,0,0,0,42159,"July 31,2025"
21,Textiles,26297,460,0,0,0,0,0,0,0,0,0,26757,3064,54,0,0,0,0,0,0,0,0,0,3118,234,0,0,0,0,0,0,0,0,0,0,234,27,0,0,0,0,0,0,0,0,0,0,27,42,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,5,25645,460,0,0,0,0,0,0,0,0,0,26105,2929,53,0,0,0,0,0,0,0,0,0,2982,"July 31,2025"
22,Utilities,2456,78,0,0,0,0,0,0,0,0,0,2534,286,9,0,0,0,0,0,0,0,0,0,295,-9,0,0,0,0,0,0,0,0,0,0,-9,-1,0,0,0,0,0,0,0,0,0,0,-1,-9,0,0,0,0,0,0,0,0,0,0,-9,-1,0,0,0,0,0,0,0,0,0,0,-1,2493,78,0,0,0,0,0,0,0,0,0,2571,285,9,0,0,0,0,0,0,0,0,0,294,"July 31,2025"
23,Sovereign,0,55531,468,259706,0,0,0,0,0,0,0,315705,0,6470,54,30260,0,0,0,0,0,0,0,36784,0,379,0,7855,0,0,0,0,0,0,0,8234,0,44,0,915,0,0,0,0,0,0,0,959,0,-1295,52,-105,0,0,0,0,0,0,0,-1348,0,-148,6,-12,0,0,0,0,0,0,0,-154,0,54562,1458,258065,0,0,0,0,0,0,0,314085,0,6232,167,29475,0,0,0,0,0,0,0,35874,"July 31,2025"
24,Others,52444,91001,134489,0,9605,6723,1830,181,0,2713,25,299011,6110,10603,15670,0,1119,783,213,21,0,316,3,34838,-17,-20,2060,0,0,132,350,-75,0,51,0,2481,-2,-2,240,0,0,15,41,-9,0,6,0,289,8153,28,3685,0,0,445,-64,-4,0,12,0,12255,931,3,421,0,0,51,-7,-1,0,1,0,1399,50970,90824,138250,0,9605,7202,1896,176,0,2671,25,301619,5822,10373,15790,0,1097,823,217,20,0,305,3,34450,"July 31,2025"
,Grand Total,7364330,177960,164283,259706,54722,6723,1830,181,0,3218,25,8032978,858052,20735,19141,30260,6376,783,213,21,0,375,3,935959,-1446,1334,1420,7855,-409,132,350,-75,0,57,0,9218,-168,155,165,915,-48,15,41,-9,0,7,0,1073,-16295,-1568,2876,-105,-54,445,-64,-4,0,14,0,-14755,-1861,-179,328,-12,-6,51,-7,-1,0,2,0,-1685,7196613,176494,168150,258065,55144,7202,1896,176,0,3167,25,7866932,821959,20158,19205,29475,6298,823,217,20,0,362,3,898520,"July 31,2025"
