date,url,file
"February 15, 2024",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/February%2015%2C2024.htm,CDSL_Reports/CDSL_February_15_2024.csv
"January 31, 2024",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2031%2C2024.htm,CDSL_Reports/CDSL_January_31_2024.csv
"January 15, 2024",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/January%2015%2C2024.htm,CDSL_Reports/CDSL_January_15_2024.csv
"December 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/December%2015%2C2023.htm,CDSL_Reports/CDSL_December_15_2023.csv
"Novemeber 30, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2030%2C2023.htm,CDSL_Reports/CDSL_Novemeber_30_2023.csv
"Novemeber 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/November%2015%2C2023.html,CDSL_Reports/CDSL_Novemeber_15_2023.csv
"October 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2031%2C%202023.htm,CDSL_Reports/CDSL_October_31_2023.csv
"October 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/October%2015%2C%202023.htm,CDSL_Reports/CDSL_October_15_2023.csv
"September 30, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2030%2C%202023.htm,CDSL_Reports/CDSL_September_30_2023.csv
"September 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/September%2015%2C%202023.htm,CDSL_Reports/CDSL_September_15_2023.csv
"August 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2031%2C%202023.htm,CDSL_Reports/CDSL_August_31_2023.csv
"August 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/August%2015%2C2023.htm,CDSL_Reports/CDSL_August_15_2023.csv
"July 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/July%2031%2C2023.htm,CDSL_Reports/CDSL_July_31_2023.csv
"June 30, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/June%2030%2C%202023.htm,CDSL_Reports/CDSL_June_30_2023.csv
"June 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/June%2015%2C%202023.htm,CDSL_Reports/CDSL_June_15_2023.csv
"May 31, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/May%2031%2C%202023.htm,CDSL_Reports/CDSL_May_31_2023.csv
"May 15, 2023",https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/May%2015%2C%202023.htm,CDSL_Reports/CDSL_May_15_2023.csv
