0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","June 30, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"June 30, 2024"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"June 30, 2024"
1,Automobile and Auto Components,577864,163,10,0,578037,69167,19,1,0,69187,-315,0,0,0,-315,-38,0,0,0,-38,2054,0,0,0,2054,246,0,0,0,246,571132,163,10,0,571305,68437,20,1,0,68458,"June 30, 2024"
2,Capital Goods,404048,771,29,0,404848,48362,92,4,0,48458,-137,0,0,0,-137,-16,0,0,0,-16,2929,0,0,0,2929,351,0,0,0,351,409070,771,29,0,409870,49018,92,4,0,49114,"June 30, 2024"
3,Chemicals,109672,0,615,0,110287,13127,0,74,0,13201,923,0,0,0,923,110,0,0,0,110,1037,0,0,0,1037,124,0,0,0,124,113531,0,615,0,114146,13604,0,74,0,13678,"June 30, 2024"
4,Construction,146256,305,0,86,146647,17506,37,0,10,17553,-2660,0,0,14,-2646,-318,0,0,2,-316,-63,0,0,1,-62,-8,0,0,0,-8,141565,305,0,87,141957,16963,37,0,10,17010,"June 30, 2024"
5,Construction Materials,124938,1275,380,0,126593,14954,153,45,0,15152,302,0,0,0,302,36,0,0,0,36,1475,0,0,0,1475,177,0,0,0,177,132499,1275,380,0,134154,15877,153,46,0,16076,"June 30, 2024"
6,Consumer Durables,207287,0,0,0,207287,24811,0,0,0,24811,-953,0,0,0,-953,-114,0,0,0,-114,1038,0,0,0,1038,124,0,0,0,124,209491,0,0,0,209491,25103,0,0,0,25103,"June 30, 2024"
7,Consumer Services,265803,1109,670,0,267582,31815,133,80,0,32028,1607,0,0,0,1607,192,0,0,0,192,3097,0,0,0,3097,371,0,0,0,371,279761,1109,670,0,281540,33523,133,80,0,33736,"June 30, 2024"
8,Diversified,6454,168,0,0,6622,773,20,0,0,793,8,0,0,0,8,1,0,0,0,1,109,0,0,0,109,13,0,0,0,13,6480,168,0,0,6648,776,20,0,0,796,"June 30, 2024"
9,Fast Moving Consumer Goods,425039,127,285,0,425451,50875,15,34,0,50924,-245,-6,0,0,-251,-29,-1,0,0,-30,-677,-12,0,0,-689,-81,-1,0,0,-82,421822,115,285,0,422222,50546,14,34,0,50594,"June 30, 2024"
10,Financial Services,1971419,20710,14575,0,2006704,235969,2479,1745,0,240193,1008,280,161,0,1449,120,34,19,0,173,8162,-266,-542,0,7354,978,-32,-65,0,881,2054913,20669,14033,0,2089615,246235,2477,1682,0,250394,"June 30, 2024"
11,Forest Materials,3838,458,0,0,4296,459,55,0,0,514,138,15,0,0,153,17,2,0,0,19,162,0,0,0,162,19,0,0,0,19,4143,458,0,0,4601,496,55,0,0,551,"June 30, 2024"
12,Healthcare,398071,258,0,0,398329,47647,31,0,0,47678,413,0,0,0,413,49,0,0,0,49,2886,-45,0,0,2841,346,-5,0,0,341,399604,213,0,0,399817,47883,26,0,0,47909,"June 30, 2024"
13,Information Technology,575037,0,361,0,575398,68829,0,43,0,68872,-2559,0,0,0,-2559,-306,0,0,0,-306,1578,0,0,0,1578,189,0,0,0,189,597930,0,21,0,597951,71648,0,3,0,71651,"June 30, 2024"
14,"Media, Entertainment & Publication",13760,0,75,0,13835,1647,0,9,0,1656,-28,0,0,0,-28,-3,0,0,0,-3,-3,0,-10,0,-13,0,0,-1,0,-1,13556,0,65,0,13621,1624,0,8,0,1632,"June 30, 2024"
15,Metals & Mining,223803,1291,30,0,225124,26788,154,4,0,26946,-1861,0,0,0,-1861,-223,0,0,0,-223,-1128,0,0,0,-1128,-135,0,0,0,-135,219771,71,1250,0,221092,26335,8,150,0,26493,"June 30, 2024"
16,"Oil, Gas & Consumable Fuels",605270,413,0,0,605683,72448,49,0,0,72497,-3683,-25,0,0,-3708,-441,-3,0,0,-444,1048,0,0,0,1048,126,0,0,0,126,616324,413,0,0,616737,73852,50,0,0,73902,"June 30, 2024"
17,Power,319583,3461,250,6701,329995,38252,414,30,802,39498,-59,0,150,20,111,-7,0,18,2,13,-2439,0,0,-4,-2443,-292,0,0,0,-292,319441,3418,250,6741,329850,38278,410,30,808,39526,"June 30, 2024"
18,Realty,165073,189,686,20091,186039,19758,23,82,2405,22268,1815,0,0,-35,1780,217,0,0,-4,213,918,639,0,-157,1400,110,77,0,-19,168,163404,834,690,19609,184537,19580,100,83,2350,22113,"June 30, 2024"
19,Services,153606,1048,0,3987,158641,18386,125,0,477,18988,1184,0,0,-10,1174,142,0,0,-1,141,375,0,0,-5,370,45,0,0,-1,44,154786,1131,0,3983,159900,18548,136,0,477,19161,"June 30, 2024"
20,Telecommunication,251215,193,0,10262,261670,30069,23,0,1228,31320,1736,0,0,0,1736,208,0,0,0,208,6208,0,0,0,6208,744,0,0,0,744,263835,194,0,10262,274291,31615,23,0,1230,32868,"June 30, 2024"
21,Textiles,22044,460,0,0,22504,2639,55,0,0,2694,48,0,0,0,48,6,0,0,0,6,151,0,0,0,151,18,0,0,0,18,23182,460,0,0,23642,2778,55,0,0,2833,"June 30, 2024"
22,Utilities,1923,100,0,0,2023,230,12,0,0,242,-19,0,0,0,-19,-2,0,0,0,-2,-88,0,0,0,-88,-11,0,0,0,-11,2106,100,0,0,2206,252,12,0,0,264,"June 30, 2024"
23,Sovereign,0,233888,1837,0,235725,0,27995,220,0,28215,0,6645,387,0,7032,0,795,46,0,841,0,8044,201,0,8245,0,964,24,0,988,0,242135,2041,0,244176,0,29014,245,0,29259,"June 30, 2024"
24,Others,25535,78920,137074,9530,251059,3056,9446,16407,1141,30050,273,-1206,37,1387,491,33,-144,4,166,59,800,891,-1358,0,333,96,107,-163,0,40,26110,80464,139375,9530,255479,3129,9642,16701,1142,30614,"June 30, 2024"
,Grand Total,6997537,345307,156877,50658,7550379,837569,41331,18777,6063,903740,-3064,5703,735,1377,4751,-367,683,88,165,569,29628,9252,-1709,-166,37005,3550,1109,-205,-20,4434,7144454,354466,159715,50213,7708848,856101,42475,19138,6017,923731,"June 30, 2024"
