0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,311273,1099,670,0,0,0,0,0,0,0,0,313042,37017,131,80,0,0,0,0,0,0,0,0,37228,-4230,0,0,0,0,0,0,0,0,0,0,-4230,-503,0,0,0,0,0,0,0,0,0,0,-503,-629,0,0,0,0,0,0,0,0,0,0,-629,-74,0,0,0,0,0,0,0,0,0,0,-74,317466,1099,670,0,0,0,0,0,0,0,0,319235,37612,130,79,0,0,0,0,0,0,0,0,37821,"November 15, 2024"
8,Diversified,7012,206,0,0,0,0,0,0,0,0,0,7218,834,25,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,-17,-2,0,0,0,0,0,0,0,0,0,0,-2,6697,206,0,0,0,0,0,0,0,0,0,6903,793,24,0,0,0,0,0,0,0,0,0,817,"November 15, 2024"
9,Fast Moving Consumer Goods,431649,115,285,0,0,0,0,0,0,0,0,432049,51333,14,34,0,0,0,0,0,0,0,0,51381,-4764,0,0,0,0,0,0,0,0,0,0,-4764,-567,0,0,0,0,0,0,0,0,0,0,-567,-3589,0,0,0,0,0,0,0,0,0,0,-3589,-425,0,0,0,0,0,0,0,0,0,0,-425,402652,115,285,0,0,0,0,0,0,0,0,403052,47705,14,34,0,0,0,0,0,0,0,0,47753,"November 15, 2024"
10,Financial Services,2067778,22833,17294,0,0,0,0,0,0,298,0,2108203,245905,2715,2057,0,0,0,0,0,0,35,0,250712,-2865,-271,104,0,0,0,0,0,0,1,0,-3031,-341,-32,12,0,0,0,0,0,0,0,0,-361,-7092,-570,322,0,0,0,0,0,0,0,0,-7340,-840,-68,38,0,0,0,0,0,0,0,0,-870,1998407,22367,17248,0,0,0,0,0,0,273,0,2038295,236764,2650,2043,0,0,0,0,0,0,32,0,241489,"November 15, 2024"
11,Forest Materials,4352,424,0,0,0,0,0,0,0,0,0,4776,518,50,0,0,0,0,0,0,0,0,0,568,-84,0,0,0,0,0,0,0,0,0,0,-84,-10,0,0,0,0,0,0,0,0,0,0,-10,45,0,0,0,0,0,0,0,0,0,0,45,5,0,0,0,0,0,0,0,0,0,0,5,4082,424,0,0,0,0,0,0,0,0,0,4506,484,50,0,0,0,0,0,0,0,0,0,534,"November 15, 2024"
12,Healthcare,488036,394,0,0,0,0,0,0,0,0,0,488430,58038,47,0,0,0,0,0,0,0,0,0,58085,2321,181,0,0,0,0,0,0,0,0,0,2502,276,21,0,0,0,0,0,0,0,0,0,297,734,0,0,0,0,0,0,0,0,0,0,734,87,0,0,0,0,0,0,0,0,0,0,87,472444,394,0,0,0,0,0,0,0,0,0,472838,55973,47,0,0,0,0,0,0,0,0,0,56020,"November 15, 2024"
13,Information Technology,667323,0,11,0,0,0,0,0,0,0,0,667334,79360,0,1,0,0,0,0,0,0,0,0,79361,-172,0,0,0,0,0,0,0,0,0,0,-172,-20,0,0,0,0,0,0,0,0,0,0,-20,3087,0,0,0,0,0,0,0,0,0,0,3087,366,0,0,0,0,0,0,0,0,0,0,366,700682,0,11,0,0,0,0,0,0,0,0,700693,83014,0,1,0,0,0,0,0,0,0,0,83015,"November 15, 2024"
14,"Media, Entertainment & Publication",13764,0,45,0,0,0,0,0,0,0,0,13809,1637,0,5,0,0,0,0,0,0,0,0,1642,72,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,9,52,0,-20,0,0,0,0,0,0,0,0,32,6,0,-2,0,0,0,0,0,0,0,0,4,13095,0,25,0,0,0,0,0,0,0,0,13120,1551,0,3,0,0,0,0,0,0,0,0,1554,"November 15, 2024"
15,Metals & Mining,212399,216,1250,0,0,0,0,0,0,0,0,213865,25259,26,149,0,0,0,0,0,0,0,0,25434,-75,51,0,0,0,0,0,0,0,0,0,-24,-9,6,0,0,0,0,0,0,0,0,0,-3,-1291,-51,0,0,0,0,0,0,0,0,0,-1342,-153,-6,0,0,0,0,0,0,0,0,0,-159,199984,166,1250,0,0,0,0,0,0,0,0,201400,23693,20,148,0,0,0,0,0,0,0,0,23861,"November 15, 2024"
16,"Oil, Gas & Consumable Fuels",391580,391,0,0,0,0,0,0,0,0,0,391971,46568,46,0,0,0,0,0,0,0,0,0,46614,-9073,0,0,0,0,0,0,0,0,0,0,-9073,-1079,0,0,0,0,0,0,0,0,0,0,-1079,-7214,0,0,0,0,0,0,0,0,0,0,-7214,-855,0,0,0,0,0,0,0,0,0,0,-855,499137,390,0,0,0,0,0,0,0,0,0,499527,59136,46,0,0,0,0,0,0,0,0,0,59182,"November 15, 2024"
17,Power,305173,3339,81,0,6046,0,0,0,0,0,0,314639,36292,397,10,0,719,0,0,0,0,0,0,37418,1168,0,-14,0,-4,0,0,0,0,0,0,1150,139,0,-2,0,0,0,0,0,0,0,0,137,-906,-10,0,0,-9,0,0,0,0,0,0,-925,-107,-1,0,0,-1,0,0,0,0,0,0,-109,286128,3330,81,0,5865,0,0,0,0,0,0,295404,33899,394,10,0,695,0,0,0,0,0,0,34998,"November 15, 2024"
18,Realty,154096,981,849,0,26244,0,0,0,0,0,0,182170,18325,117,101,0,3121,0,0,0,0,0,0,21664,-437,5,0,0,349,0,0,0,0,0,0,-83,-52,1,0,0,42,0,0,0,0,0,0,-9,694,25,0,0,74,0,0,0,0,0,0,793,82,3,0,0,9,0,0,0,0,0,0,94,146791,1006,849,0,25632,0,0,0,0,0,0,174278,17391,119,101,0,3037,0,0,0,0,0,0,20648,"November 15, 2024"
19,Services,146386,2793,1002,0,3920,0,0,0,0,0,0,154101,17409,332,119,0,466,0,0,0,0,0,0,18326,34,0,0,0,-3,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,4,-1250,-73,0,0,-2,0,0,0,0,0,0,-1325,-148,-9,0,0,0,0,0,0,0,0,0,-157,136469,2726,1002,0,3874,0,0,0,0,0,0,144071,16168,323,119,0,459,0,0,0,0,0,0,17069,"November 15, 2024"
20,Telecommunication,281651,174,7900,0,12740,0,0,0,0,0,0,302465,33495,21,939,0,1515,0,0,0,0,0,0,35970,-1095,-10,0,0,0,0,0,0,0,0,0,-1105,-130,-1,0,0,0,0,0,0,0,0,0,-131,-2136,0,0,0,0,0,0,0,0,0,0,-2136,-253,0,0,0,0,0,0,0,0,0,0,-253,267774,171,7900,0,12660,0,0,0,0,0,0,288505,31725,20,936,0,1500,0,0,0,0,0,0,34181,"November 15, 2024"
21,Textiles,23723,460,0,0,0,0,0,0,0,0,0,24183,2821,55,0,0,0,0,0,0,0,0,0,2876,31,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0,0,0,0,0,0,0,92,11,0,0,0,0,0,0,0,0,0,0,11,23824,460,0,0,0,0,0,0,0,0,0,24284,2823,54,0,0,0,0,0,0,0,0,0,2877,"November 15, 2024"
22,Utilities,3439,94,0,0,0,0,0,0,0,0,0,3533,409,11,0,0,0,0,0,0,0,0,0,420,165,0,0,0,0,0,0,0,0,0,0,165,20,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,50,6,0,0,0,0,0,0,0,0,0,0,6,3171,94,0,0,0,0,0,0,0,0,0,3265,376,11,0,0,0,0,0,0,0,0,0,387,"November 15, 2024"
23,Sovereign,0,66830,520,230333,0,0,0,0,0,0,0,297683,0,7948,62,27392,0,0,0,0,0,0,0,35402,0,-910,-153,-1932,0,0,0,0,0,0,0,-2995,0,-108,-18,-230,0,0,0,0,0,0,0,-356,0,1284,-138,-4717,0,0,0,0,0,0,0,-3571,0,152,-16,-559,0,0,0,0,0,0,0,-423,0,68446,384,225839,0,0,0,0,0,0,0,294669,0,8109,45,26757,0,0,0,0,0,0,0,34911,"November 15, 2024"
24,Others,84741,75052,133212,0,9517,6748,2611,226,0,1427,25,313559,10078,8925,15842,0,1132,803,310,27,0,170,3,37290,2456,-579,891,0,0,45,189,-19,0,2,0,2985,292,-69,106,0,0,5,22,-2,0,0,0,354,1473,-560,198,0,0,-132,-147,13,0,596,0,1441,175,-66,23,0,0,-16,-17,1,0,71,0,171,25726,74549,131876,0,9517,6625,2460,236,0,1988,25,253002,3048,8832,15624,0,1128,785,291,28,0,236,3,29975,"November 15, 2024"
,Grand Total,7108240,177579,164141,230333,58549,6748,2611,226,0,1726,25,7750178,845327,21118,19520,27392,6963,803,310,27,0,205,3,921668,-27716,-1521,827,-1932,342,45,189,-19,0,3,0,-29782,-3296,-181,98,-230,41,5,22,-2,0,0,0,-3543,-22420,42,362,-4717,61,-132,-147,13,0,596,0,-26342,-2656,5,43,-559,7,-16,-17,1,0,71,0,-3121,6953046,178118,162603,225839,57630,6625,2460,236,0,2261,25,7588843,823772,21103,19265,26757,6828,785,291,28,0,268,3,899100,"November 15, 2024"
