0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","AUC as on August 31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment August 16-31, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","September 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 15, 2018"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"September 15, 2018"
1,Automobiles & Auto Components,211946,317,0,212263,29883,45,0,29928,92,0,0,92,13,0,0,13,-211,0,0,-211,-29,0,0,-29,207213,317,0,207530,28855,44,0,28899,"September 15, 2018"
2,Total Financial Services,1021480,60210,0,1081690,144022,8489,0,152511,-3527,-1085,0,-4612,-497,-153,0,-650,-3289,-1164,0,-4453,-458,-162,0,-620,989538,58896,0,1048434,137794,8201,0,145995,"September 15, 2018"
2a,Banks,585542,6852,0,592394,82557,966,0,83523,-2689,-41,0,-2730,-379,-6,0,-385,-3462,-58,0,-3520,-482,-8,0,-490,564093,6734,0,570827,78550,938,0,79488,"September 15, 2018"
2b,Other Financial Services1,435938,53358,0,489296,61464,7523,0,68987,-838,-1043,0,-1881,-118,-147,0,-265,173,-1107,0,-934,24,-154,0,-130,425445,52162,0,477607,59244,7264,0,66508,"September 15, 2018"
3,Capital Goods,112811,483,0,113294,15906,68,0,15974,513,-61,0,452,72,-9,0,63,-350,-600,0,-950,-49,-84,0,-133,110005,483,0,110488,15318,67,0,15385,"September 15, 2018"
4,Chemicals & Petrochemicals,38050,0,0,38050,5365,0,0,5365,-12,0,0,-12,-2,0,0,-2,256,0,0,256,36,0,0,36,38356,0,0,38356,5341,0,0,5341,"September 15, 2018"
5,Coal,10296,0,0,10296,1452,0,0,1452,185,0,0,185,26,0,0,26,16,0,0,16,2,0,0,2,10034,0,0,10034,1397,0,0,1397,"September 15, 2018"
6,Commercial Services & Supplies,10787,200,0,10987,1521,28,0,1549,253,0,0,253,36,0,0,36,-213,0,0,-213,-30,0,0,-30,9146,200,0,9346,1274,28,0,1302,"September 15, 2018"
7,Construction Materials,72167,779,0,72946,10175,110,0,10285,-383,0,0,-383,-54,0,0,-54,-335,0,0,-335,-47,0,0,-47,68874,779,0,69653,9591,108,0,9699,"September 15, 2018"
8,Consumer Durables,39928,0,0,39928,5630,0,0,5630,118,0,0,118,17,0,0,17,-231,0,0,-231,-32,0,0,-32,37884,0,0,37884,5275,0,0,5275,"September 15, 2018"
9,Diversified2,2925,0,0,2925,412,0,0,412,-34,0,0,-34,-5,0,0,-5,-11,0,0,-11,-2,0,0,-2,2812,0,0,2812,392,0,0,392,"September 15, 2018"
10,Diversified Consumer Services,2755,0,0,2755,388,0,0,388,181,0,0,181,26,0,0,26,5,0,0,5,1,0,0,1,2664,0,0,2664,371,0,0,371,"September 15, 2018"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"September 15, 2018"
12,"Food, Beverages & Tobacco",116671,612,0,117283,16450,86,0,16536,95,0,0,95,13,0,0,13,40,0,0,40,6,0,0,6,110698,612,0,111310,15415,85,0,15500,"September 15, 2018"
13,Forest Materials,1720,0,0,1720,243,0,0,243,46,0,0,46,7,0,0,7,12,0,0,12,2,0,0,2,1717,0,0,1717,239,0,0,239,"September 15, 2018"
14,General Industrials,21746,385,0,22131,3066,54,0,3120,260,0,0,260,37,0,0,37,59,0,0,59,8,0,0,8,21449,385,0,21834,2987,54,0,3041,"September 15, 2018"
15,Hardware Technology & Equipment,51,0,0,51,7,0,0,7,8,0,0,8,1,0,0,1,6,0,0,6,1,0,0,1,54,0,0,54,8,0,0,8,"September 15, 2018"
16,Healthcare Equipment & Supplies,93,0,0,93,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,13,0,0,13,"September 15, 2018"
17,Healthcare Services,15093,0,0,15093,2128,0,0,2128,163,0,0,163,23,0,0,23,20,0,0,20,3,0,0,3,14529,0,0,14529,2023,0,0,2023,"September 15, 2018"
18,"Hotels, Restaurants & Tourism",15069,4,0,15073,2125,0,0,2125,157,0,0,157,22,0,0,22,-180,0,0,-180,-25,0,0,-25,13581,4,0,13585,1891,0,0,1891,"September 15, 2018"
19,Household & Personal Products,114985,0,0,114985,16212,0,0,16212,44,0,0,44,6,0,0,6,-164,0,0,-164,-23,0,0,-23,98163,0,0,98163,13669,0,0,13669,"September 15, 2018"
