0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","May 31, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"May 31, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"May 31, 2019"
22,Metals & Mining,47970,412,0,48382,6832,59,0,6891,-366,0,0,-366,-52,0,0,-52,67,0,0,67,10,0,0,10,49032,412,0,49444,7024,59,0,7083,"May 31, 2019"
23,Oil & Gas,250822,5911,0,256733,35725,842,0,36567,157,-102,0,55,22,-15,0,7,456,-64,0,392,65,-9,0,56,267888,5859,0,273747,38376,839,0,39215,"May 31, 2019"
24,Pharmaceuticals & Biotechnology,114010,950,0,114960,16239,135,0,16374,-1215,0,0,-1215,-173,0,0,-173,-1157,0,0,-1157,-166,0,0,-166,113052,950,0,114002,16195,136,0,16331,"May 31, 2019"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May 31, 2019"
26,Realty,25459,584,0,26043,3626,83,0,3709,-40,0,0,-40,-6,0,0,-6,55,0,0,55,8,0,0,8,28989,584,0,29573,4153,84,0,4237,"May 31, 2019"
27,Retailing,26981,300,0,27281,3843,43,0,3886,149,0,0,149,21,0,0,21,83,0,0,83,12,0,0,12,28692,300,0,28992,4110,43,0,4153,"May 31, 2019"
28,Software & Services,350755,0,0,350755,49959,0,0,49959,-1345,0,0,-1345,-192,0,0,-192,-1881,0,0,-1881,-269,0,0,-269,358327,0,0,358327,51332,0,0,51332,"May 31, 2019"
29,Telecom Services,55181,1822,0,57003,7860,260,0,8120,-302,-9,0,-311,-43,-1,0,-44,-89,0,0,-89,-13,0,0,-13,64161,1822,0,65983,9191,261,0,9452,"May 31, 2019"
30,Telecommunications Equipment,176,0,0,176,25,0,0,25,4,0,0,4,1,0,0,1,2,0,0,2,0,0,0,0,183,0,0,183,26,0,0,26,"May 31, 2019"
31,"Textiles, Apparels & Accessories",43751,0,0,43751,6232,0,0,6232,78,0,0,78,11,0,0,11,-50,0,0,-50,-7,0,0,-7,44417,0,0,44417,6363,0,0,6363,"May 31, 2019"
32,Transportation,40746,699,0,41445,5804,100,0,5904,158,0,0,158,22,0,0,22,4,0,0,4,1,0,0,1,44928,699,0,45627,6436,100,0,6536,"May 31, 2019"
32 a,Airlines,9903,699,0,10602,1410,100,0,1510,58,0,0,58,8,0,0,8,142,0,0,142,20,0,0,20,10520,699,0,11219,1507,100,0,1607,"May 31, 2019"
32 b,Logistics,1786,0,0,1786,254,0,0,254,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1913,0,0,1913,274,0,0,274,"May 31, 2019"
32 c,Marine Port & Services,17483,0,0,17483,2490,0,0,2490,97,0,0,97,14,0,0,14,-129,0,0,-129,-19,0,0,-19,19535,0,0,19535,2799,0,0,2799,"May 31, 2019"
32 d,Roads & Highways,2225,0,0,2225,317,0,0,317,-46,0,0,-46,-7,0,0,-7,22,0,0,22,3,0,0,3,2579,0,0,2579,370,0,0,370,"May 31, 2019"
32 e,Shipping,992,0,0,992,141,0,0,141,46,0,0,46,7,0,0,7,-1,0,0,-1,0,0,0,0,1122,0,0,1122,161,0,0,161,"May 31, 2019"
32 f,Surface Transportation,43,0,0,43,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,48,7,0,0,7,"May 31, 2019"
32 g,Transport Related Services,8314,0,0,8314,1184,0,0,1184,0,0,0,0,0,0,0,0,-31,0,0,-31,-4,0,0,-4,9212,0,0,9212,1320,0,0,1320,"May 31, 2019"
33,Utilities3,83106,4059,0,87165,11837,578,0,12415,-205,-36,0,-241,-29,-5,0,-34,460,-146,0,314,66,-21,0,45,89640,3919,0,93559,12841,561,0,13402,"May 31, 2019"
34,Sovereign,0,190038,0,190038,0,27068,0,27068,0,839,0,839,0,119,0,119,0,4209,0,4209,0,603,0,603,0,194577,0,194577,0,27874,0,27874,"May 31, 2019"
35,Others4,34408,140170,4816,179394,4901,19965,686,25552,3069,-3309,-13,-253,437,-471,-2,-36,4204,2212,20,6436,602,317,3,922,37018,139978,4953,181949,5303,20053,710,26066,"May 31, 2019"
,Grand Total,2792993,404101,8997,3206091,397813,57557,1281,456651,-2815,-3924,2182,-4557,-401,-559,311,-649,10734,5111,82,15927,1538,732,12,2282,3001299,407214,9166,3417679,429950,58335,1313,489598,"May 31, 2019"
