0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","March 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"March 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"March 15, 2013"
29,Transportation,10688,0,10688,1988,0,1988,168,0,168,31,0,31,158,0,158,29,0,29,10923,0,10923,2017,0,2017,"March 15, 2013"
29 a,Airlines,314,0,314,58,0,58,15,0,15,3,0,3,-1,0,-1,0,0,0,338,0,338,62,0,62,"March 15, 2013"
29 b,Logistics,851,0,851,158,0,158,13,0,13,2,0,2,19,0,19,4,0,4,825,0,825,152,0,152,"March 15, 2013"
29 c,Marine Port & Services,3927,0,3927,730,0,730,25,0,25,5,0,5,53,0,53,10,0,10,4013,0,4013,741,0,741,"March 15, 2013"
29 d,Roads & Highways,1089,0,1089,203,0,203,3,0,3,1,0,1,-10,0,-10,-2,0,-2,1132,0,1132,209,0,209,"March 15, 2013"
29 e,Shipping,941,0,941,175,0,175,0,0,0,0,0,0,2,0,2,0,0,0,921,0,921,170,0,170,"March 15, 2013"
29 f,Surface Transportation,29,0,29,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,5,0,5,"March 15, 2013"
29 g,Transport Related Services,3537,0,3537,658,0,658,111,0,111,21,0,21,95,0,95,18,0,18,3663,0,3663,676,0,676,"March 15, 2013"
30,Utilities3,41125,806,41931,7648,150,7798,303,-11,292,56,-2,54,43,10,53,8,2,10,42118,815,42934,7777,151,7927,"March 15, 2013"
31,Sovereign,0,81636,81636,0,15181,15181,0,3614,3614,0,672,672,0,2416,2416,0,446,446,0,83137,83137,0,15350,15350,"March 15, 2013"
32,Others4,25581,51561,77142,4757,9589,14346,798,-1313,-515,148,-244,-96,335,509,844,62,94,156,25521,52049,77570,4712,9610,14322,"March 15, 2013"
,Grand Total,1151629,180867,1332497,214163,33635,247798,3380,3088,6468,629,574,1203,5209,4809,10018,962,888,1850,1186553,184735,1371288,219081,34109,253190,"March 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"March 15, 2013"
