0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on February 29, 2016","AUC as on February 29, 2016","AUC as on February 29, 2016","AUC as on February 29, 2016","AUC as on February 29, 2016","AUC as on February 29, 2016","Net Investment February 16-29, 2016","Net Investment February 16-29, 2016","Net Investment February 16-29, 2016","Net Investment February 16-29, 2016","Net Investment February 16-29, 2016","Net Investment February 16-29, 2016","Net Investment March 01-15, 2016","Net Investment March 01-15, 2016","Net Investment March 01-15, 2016","Net Investment March 01-15, 2016","Net Investment March 01-15, 2016","Net Investment March 01-15, 2016","AUC as on March 15, 2016","AUC as on March 15, 2016","AUC as on March 15, 2016","AUC as on March 15, 2016","AUC as on March 15, 2016","AUC as on March 15, 2016","March 15, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"March 15, 2016"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"March 15, 2016"
1,Automobiles & Auto Components,103123,270,103393,15029,39,15068,-992,0,-992,-145,0,-145,413,0,413,61,0,61,110259,270,110529,16400,40,16441,"March 15, 2016"
2,Total Financial Services,345909,49691,395599,50412,7242,57654,-1743,-694,-2437,-254,-101,-355,3278,-1961,1317,488,-292,196,370484,47828,418312,55108,7114,62222,"March 15, 2016"
2a,Banks,157901,2151,160052,23012,314,23326,-633,46,-587,-92,7,-86,2659,-30,2629,395,-4,391,170551,2120,172672,25369,315,25684,"March 15, 2016"
2b,Other Financial Services1,188008,47539,235548,27400,6928,34328,-1110,-740,-1850,-162,-108,-270,619,-1932,-1312,92,-287,-195,199932,45708,245641,29739,6799,36538,"March 15, 2016"
3,Capital Goods,83130,877,84008,12115,128,12243,-582,0,-582,-85,0,-85,525,0,525,78,0,78,90853,877,91731,13514,131,13645,"March 15, 2016"
4,Chemicals & Petrochemicals,19012,0,19012,2771,0,2771,80,0,80,12,0,12,168,0,168,25,0,25,20990,0,20990,3122,0,3122,"March 15, 2016"
5,Coal,16934,0,16934,2468,0,2468,85,0,85,12,0,12,-405,0,-405,-60,0,-60,15693,0,15693,2334,0,2334,"March 15, 2016"
6,Commercial Services & Supplies,3649,200,3849,532,29,561,-33,0,-33,-5,0,-5,-12,0,-12,-2,0,-2,3955,200,4155,588,30,618,"March 15, 2016"
7,Construction Materials,32772,980,33752,4776,143,4919,24,0,24,4,0,4,315,0,315,47,0,47,36006,980,36986,5356,146,5502,"March 15, 2016"
8,Consumer Durables,4309,0,4309,628,0,628,32,0,32,5,0,5,55,0,55,8,0,8,4686,0,4686,697,0,697,"March 15, 2016"
9,Diversified2,2608,0,2608,380,0,380,-35,0,-35,-5,0,-5,-61,0,-61,-9,0,-9,2703,0,2703,402,0,402,"March 15, 2016"
10,Diversified Consumer Services,270,0,270,39,0,39,16,0,16,2,0,2,3,0,3,0,0,0,264,0,264,39,0,39,"March 15, 2016"
11,"Food, Beverages & Tobacco",79795,50,79846,11629,7,11637,-670,0,-670,-98,0,-98,186,0,186,28,0,28,83187,50,83238,12374,7,12381,"March 15, 2016"
12,Forest Materials,690,0,690,101,0,101,3,0,3,0,0,0,-6,0,-6,-1,0,-1,741,0,741,110,0,110,"March 15, 2016"
13,General Industrials,12055,385,12440,1757,56,1813,832,0,832,121,0,121,-1,0,-1,0,0,0,12952,385,13337,1927,57,1984,"March 15, 2016"
14,Hardware Technology & Equipment,27,0,27,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,5,0,5,"March 15, 2016"
15,Healthcare Equipment & Supplies,7,0,7,1,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,7,0,7,1,0,1,"March 15, 2016"
16,Healthcare Services,10013,0,10013,1459,0,1459,47,0,47,7,0,7,1,0,1,0,0,0,9343,0,9343,1390,0,1390,"March 15, 2016"
17,"Hotels, Restaurants & Tourism",5264,125,5389,767,18,785,-87,0,-87,-13,0,-13,34,0,34,5,0,5,5711,125,5836,849,19,868,"March 15, 2016"
18,Household & Personal Products,65722,0,65722,9578,0,9578,84,0,84,12,0,12,-141,0,-141,-21,0,-21,67324,0,67324,10014,0,10014,"March 15, 2016"
19,Media,25040,780,25820,3649,114,3763,-117,1,-116,-17,0,-17,169,0,169,25,0,25,26519,780,27299,3945,116,4061,"March 15, 2016"
20,Metals & Mining,18979,848,19827,2766,124,2889,-15,-58,-73,-2,-8,-11,434,0,434,65,0,65,22222,847,23069,3305,126,3431,"March 15, 2016"
21,Oil & Gas,92519,223,92743,13484,33,13516,-119,0,-119,-17,0,-17,1012,-66,946,151,-10,141,99418,159,99577,14788,24,14812,"March 15, 2016"
22,Pharmaceuticals & Biotechnology,154808,0,154808,22561,0,22561,-525,0,-525,-76,0,-76,265,0,265,39,0,39,157622,0,157622,23446,0,23446,"March 15, 2016"
23,Realty,10673,295,10967,1555,43,1598,-62,0,-62,-9,0,-9,134,15,148,20,2,22,12099,309,12409,1800,46,1846,"March 15, 2016"
24,Retailing,6451,0,6451,940,0,940,125,0,125,18,0,18,154,0,154,23,0,23,7108,0,7108,1057,0,1057,"March 15, 2016"
25,Software & Services,237205,0,237205,34570,0,34570,-551,0,-551,-80,0,-80,568,0,568,84,0,84,247905,0,247905,36875,0,36875,"March 15, 2016"
26,Telecom Services,34153,3228,37381,4977,470,5448,-403,-15,-417,-59,-2,-61,-95,37,-57,-14,6,-9,35453,3263,38716,5273,485,5759,"March 15, 2016"
27,Telecommunications Equipment,235,0,235,34,0,34,2,0,2,0,0,0,-2,0,-2,0,0,0,230,0,230,34,0,34,"March 15, 2016"
28,"Textiles, Apparels & Accessories",26377,0,26377,3844,0,3844,22,0,22,3,0,3,296,0,296,44,0,44,28515,0,28515,4241,0,4241,"March 15, 2016"
29,Transportation,28196,720,28916,4109,105,4214,-31,0,-31,-5,0,-5,374,0,374,56,0,56,31296,720,32016,4655,107,4762,"March 15, 2016"
29 a,Airlines,333,699,1032,49,102,150,-30,0,-30,-4,0,-4,2,0,2,0,0,0,349,699,1048,52,104,156,"March 15, 2016"
