0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,352186,1099,670,0,0,0,0,0,0,0,0,353955,41968,131,80,0,0,0,0,0,0,0,0,42179,-156,0,0,0,0,0,0,0,0,0,0,-156,-19,0,0,0,0,0,0,0,0,0,0,-19,-2784,0,0,0,0,0,0,0,0,0,0,-2784,-332,0,0,0,0,0,0,0,0,0,0,-332,353707,1099,670,0,0,0,0,0,0,0,0,355476,42214,131,80,0,0,0,0,0,0,0,0,42425,"September 30, 2024"
8,Diversified,7899,218,0,0,0,0,0,0,0,0,0,8117,941,26,0,0,0,0,0,0,0,0,0,967,13,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,2,-21,-12,30,0,0,0,0,0,0,0,0,-3,-3,-1,4,0,0,0,0,0,0,0,0,0,7736,206,30,0,0,0,0,0,0,0,0,7972,923,25,4,0,0,0,0,0,0,0,0,952,"September 30, 2024"
9,Fast Moving Consumer Goods,485603,115,285,0,0,0,0,0,0,0,0,486003,57866,14,34,0,0,0,0,0,0,0,0,57914,1372,0,0,0,0,0,0,0,0,0,0,1372,163,0,0,0,0,0,0,0,0,0,0,163,3528,0,0,0,0,0,0,0,0,0,0,3528,421,0,0,0,0,0,0,0,0,0,0,421,487906,115,285,0,0,0,0,0,0,0,0,488306,58231,14,34,0,0,0,0,0,0,0,0,58279,"September 30, 2024"
10,Financial Services,2118593,22334,15211,0,0,0,0,0,0,275,0,2156413,252460,2661,1813,0,0,0,0,0,0,33,0,256967,12253,862,372,0,0,0,0,0,0,0,0,13487,1460,103,44,0,0,0,0,0,0,0,0,1607,14947,714,569,0,0,0,0,0,0,-1,0,16229,1784,85,68,0,0,0,0,0,0,0,0,1937,2169396,23145,17075,0,0,0,0,0,0,318,0,2209934,258912,2762,2038,0,0,0,0,0,0,38,0,263750,"September 30, 2024"
11,Forest Materials,4662,458,0,0,0,0,0,0,0,0,0,5120,556,55,0,0,0,0,0,0,0,0,0,611,72,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,9,-14,-33,0,0,0,0,0,0,0,0,0,-47,-2,-4,0,0,0,0,0,0,0,0,0,-6,4570,424,0,0,0,0,0,0,0,0,0,4994,545,51,0,0,0,0,0,0,0,0,0,596,"September 30, 2024"
12,Healthcare,482398,213,0,0,0,0,0,0,0,0,0,482611,57484,25,0,0,0,0,0,0,0,0,0,57509,3652,0,0,0,0,0,0,0,0,0,0,3652,435,0,0,0,0,0,0,0,0,0,0,435,2987,0,0,0,0,0,0,0,0,0,0,2987,356,0,0,0,0,0,0,0,0,0,0,356,491059,213,0,0,0,0,0,0,0,0,0,491272,58607,25,0,0,0,0,0,0,0,0,0,58632,"September 30, 2024"
13,Information Technology,732004,0,21,0,0,0,0,0,0,0,0,732025,87228,0,3,0,0,0,0,0,0,0,0,87231,48,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,6,-1267,0,0,0,0,0,0,0,0,0,0,-1267,-151,0,0,0,0,0,0,0,0,0,0,-151,703359,0,21,0,0,0,0,0,0,0,0,703380,83944,0,3,0,0,0,0,0,0,0,0,83947,"September 30, 2024"
14,"Media, Entertainment & Publication",14679,0,45,0,0,0,0,0,0,0,0,14724,1749,0,5,0,0,0,0,0,0,0,0,1754,143,0,-10,0,0,0,0,0,0,0,0,133,17,0,-1,0,0,0,0,0,0,0,0,16,-25,0,0,0,0,0,0,0,0,0,0,-25,-3,0,0,0,0,0,0,0,0,0,0,-3,14900,0,45,0,0,0,0,0,0,0,0,14945,1778,0,5,0,0,0,0,0,0,0,0,1783,"September 30, 2024"
15,Metals & Mining,210889,120,1250,0,0,0,0,0,0,0,0,212259,25130,14,149,0,0,0,0,0,0,0,0,25293,-1857,50,0,0,0,0,0,0,0,0,0,-1807,-221,6,0,0,0,0,0,0,0,0,0,-215,3012,45,0,0,0,0,0,0,0,0,0,3057,359,5,0,0,0,0,0,0,0,0,0,364,231908,166,1250,0,0,0,0,0,0,0,0,233324,27678,20,149,0,0,0,0,0,0,0,0,27847,"September 30, 2024"
16,"Oil, Gas & Consumable Fuels",616787,414,0,0,0,0,0,0,0,0,0,617201,73499,49,0,0,0,0,0,0,0,0,0,73548,1672,0,0,0,0,0,0,0,0,0,0,1672,199,0,0,0,0,0,0,0,0,0,0,199,-2312,-25,0,0,0,0,0,0,0,0,0,-2337,-276,-3,0,0,0,0,0,0,0,0,0,-279,623963,390,0,0,0,0,0,0,0,0,0,624353,74469,47,0,0,0,0,0,0,0,0,0,74516,"September 30, 2024"
17,Power,320366,3406,209,0,5340,0,0,0,0,0,0,329321,38176,406,25,0,636,0,0,0,0,0,0,39243,1167,-12,-14,0,-55,0,0,0,0,0,0,1086,139,-1,-2,0,-7,0,0,0,0,0,0,129,242,-46,0,0,6,0,0,0,0,0,0,202,29,-5,0,0,1,0,0,0,0,0,0,25,338772,3359,209,0,5351,0,0,0,0,0,0,347691,40432,401,25,0,639,0,0,0,0,0,0,41497,"September 30, 2024"
18,Realty,160382,920,726,0,24595,0,0,0,0,0,0,186623,19112,110,87,0,2931,0,0,0,0,0,0,22240,2903,33,-25,0,628,0,0,0,0,0,0,3539,346,4,-3,0,75,0,0,0,0,0,0,422,2472,65,134,0,170,0,0,0,0,0,0,2841,295,8,16,0,20,0,0,0,0,0,0,339,169409,985,860,0,25080,0,0,0,0,0,0,196334,20219,118,103,0,2993,0,0,0,0,0,0,23433,"September 30, 2024"
19,Services,162459,2784,977,0,3415,0,0,0,0,0,0,169635,19359,332,116,0,407,0,0,0,0,0,0,20214,-422,0,-35,0,-5,0,0,0,0,0,0,-462,-50,0,-4,0,-1,0,0,0,0,0,0,-55,2147,0,0,0,21,0,0,0,0,0,0,2168,256,0,0,0,2,0,0,0,0,0,0,259,162266,2792,999,0,3940,0,0,0,0,0,0,169997,19366,333,119,0,470,0,0,0,0,0,0,20288,"September 30, 2024"
20,Telecommunication,299647,192,7900,0,12357,0,0,0,0,0,0,320096,35707,23,941,0,1472,0,0,0,0,0,0,38143,1699,726,7174,0,21,0,0,0,0,0,0,9620,202,87,855,0,3,0,0,0,0,0,0,1147,236,0,0,0,0,0,0,0,0,0,0,236,28,0,0,0,0,0,0,0,0,0,0,28,306128,190,7900,0,12478,0,0,0,0,0,0,326696,36536,23,943,0,1489,0,0,0,0,0,0,38991,"September 30, 2024"
21,Textiles,24224,460,0,0,0,0,0,0,0,0,0,24684,2887,55,0,0,0,0,0,0,0,0,0,2942,-104,0,0,0,0,0,0,0,0,0,0,-104,-12,0,0,0,0,0,0,0,0,0,0,-12,85,0,0,0,0,0,0,0,0,0,0,85,10,0,0,0,0,0,0,0,0,0,0,10,23976,460,0,0,0,0,0,0,0,0,0,24436,2861,55,0,0,0,0,0,0,0,0,0,2916,"September 30, 2024"
22,Utilities,2612,94,0,0,0,0,0,0,0,0,0,2706,311,11,0,0,0,0,0,0,0,0,0,322,46,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,5,239,0,0,0,0,0,0,0,0,0,0,239,29,0,0,0,0,0,0,0,0,0,0,29,2919,94,0,0,0,0,0,0,0,0,0,3013,348,11,0,0,0,0,0,0,0,0,0,359,"September 30, 2024"
23,Sovereign,0,70212,305,222958,0,0,0,0,0,0,0,293475,0,8367,36,26568,0,0,0,0,0,0,0,34971,0,-450,-36,14807,0,0,0,0,0,0,0,14321,0,-54,-4,1764,0,0,0,0,0,0,0,1706,0,684,205,8152,0,0,0,0,0,0,0,9041,0,82,24,973,0,0,0,0,0,0,0,1079,0,70665,605,230545,0,0,0,0,0,0,0,301815,0,8434,72,27515,0,0,0,0,0,0,0,36021,"September 30, 2024"
24,Others,20609,76475,132697,0,9517,6581,2067,276,0,1777,35,250034,2456,9113,15813,0,1134,784,246,33,0,212,4,29795,2452,-946,98,0,1674,-29,527,-6,0,9,0,3779,292,-113,12,0,199,-3,63,-1,0,1,0,450,2032,-104,130,0,0,15,364,-2,0,-368,0,2067,243,-12,16,0,0,2,43,0,0,-44,0,247,25106,76211,131435,0,9517,6933,2498,275,0,1446,35,253456,2996,9096,15686,0,1136,827,298,33,0,173,4,30249,"September 30, 2024"
,Grand Total,7647875,181869,161320,222958,55307,6581,2067,276,0,2052,35,8280340,911351,21672,19224,26568,6591,784,246,33,0,245,4,986718,27862,51,7524,14807,2261,-29,527,-6,0,10,0,53007,3320,6,897,1764,269,-3,63,-1,0,1,0,6316,29861,1247,1067,8152,194,15,364,-2,0,-369,0,40529,3564,149,127,973,23,2,43,0,0,-44,0,4837,7796273,182827,162407,230545,56449,6933,2498,275,0,1765,35,8440007,930467,21820,19383,27515,6737,827,298,33,0,211,4,1007295,"September 30, 2024"
