0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
7,Consumer Services,291085,1089,670,0,0,0,0,0,0,0,0,292844,33597,126,77,0,0,0,0,0,0,0,0,33800,-4840,-10,0,0,0,0,0,0,0,0,0,-4850,-559,-1,0,0,0,0,0,0,0,0,0,-560,-2262,0,-235,0,0,0,0,0,0,0,0,-2497,-260,0,-27,0,0,0,0,0,0,0,0,-287,274237,1089,520,0,0,0,0,0,0,0,0,275846,31563,125,60,0,0,0,0,0,0,0,0,31748,"February 15, 2025"
8,Diversified,6300,306,0,0,0,0,0,0,0,0,0,6606,727,35,0,0,0,0,0,0,0,0,0,762,287,0,0,0,0,0,0,0,0,0,0,287,33,0,0,0,0,0,0,0,0,0,0,33,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,5487,306,0,0,0,0,0,0,0,0,0,5793,632,35,0,0,0,0,0,0,0,0,0,667,"February 15, 2025"
9,Fast Moving Consumer Goods,395306,104,285,0,0,0,0,0,0,0,0,395695,45626,12,33,0,0,0,0,0,0,0,0,45671,-4294,0,0,0,0,0,0,0,0,0,0,-4294,-496,0,0,0,0,0,0,0,0,0,0,-496,-4336,0,0,0,0,0,0,0,0,0,0,-4336,-499,0,0,0,0,0,0,0,0,0,0,-499,366455,104,285,0,0,0,0,0,0,0,0,366844,42176,12,33,0,0,0,0,0,0,0,0,42221,"February 15, 2025"
10,Financial Services,1966433,17849,17233,0,0,0,0,0,0,236,0,2001751,226962,2060,1989,0,0,0,0,0,0,27,0,231038,-12745,-389,1419,0,0,0,0,0,0,0,0,-11715,-1471,-45,164,0,0,0,0,0,0,0,0,-1352,-5344,-6,683,0,0,0,0,0,0,0,0,-4667,-615,-1,79,0,0,0,0,0,0,0,0,-537,1933679,17480,16761,0,0,0,0,0,0,231,0,1968151,222553,2012,1929,0,0,0,0,0,0,27,0,226521,"February 15, 2025"
11,Forest Materials,3524,415,0,0,0,0,0,0,0,0,0,3939,407,48,0,0,0,0,0,0,0,0,0,455,-35,0,0,0,0,0,0,0,0,0,0,-35,-4,0,0,0,0,0,0,0,0,0,0,-4,11,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,3297,415,0,0,0,0,0,0,0,0,0,3712,379,48,0,0,0,0,0,0,0,0,0,427,"February 15, 2025"
12,Healthcare,467065,477,1300,0,0,0,0,0,0,0,0,468842,53908,55,150,0,0,0,0,0,0,0,0,54113,-2912,-155,0,0,0,0,0,0,0,0,0,-3067,-336,-18,0,0,0,0,0,0,0,0,0,-354,1534,0,0,0,0,0,0,0,0,0,0,1534,177,0,0,0,0,0,0,0,0,0,0,177,446659,477,1300,0,0,0,0,0,0,0,0,448436,51407,55,150,0,0,0,0,0,0,0,0,51612,"February 15, 2025"
13,Information Technology,698631,0,10,0,0,0,0,0,0,0,0,698641,80635,0,1,0,0,0,0,0,0,0,0,80636,-4544,0,0,0,0,0,0,0,0,0,0,-4544,-524,0,0,0,0,0,0,0,0,0,0,-524,693,0,-1,0,0,0,0,0,0,0,0,692,80,0,0,0,0,0,0,0,0,0,0,80,678374,0,10,0,0,0,0,0,0,0,0,678384,78076,0,1,0,0,0,0,0,0,0,0,78077,"February 15, 2025"
14,"Media, Entertainment & Publication",11593,0,0,0,0,0,0,0,0,0,0,11593,1338,0,0,0,0,0,0,0,0,0,0,1338,3,0,-5,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,-1,-12,0,0,0,0,0,0,0,0,0,0,-12,-1,0,0,0,0,0,0,0,0,0,0,-1,10875,0,0,0,0,0,0,0,0,0,0,10875,1252,0,0,0,0,0,0,0,0,0,0,1252,"February 15, 2025"
15,Metals & Mining,186285,178,1250,0,0,0,0,0,0,0,0,187713,21501,21,144,0,0,0,0,0,0,0,0,21666,-385,15,0,0,0,0,0,0,0,0,0,-370,-44,2,0,0,0,0,0,0,0,0,0,-42,-558,-15,0,0,0,0,0,0,0,0,0,-573,-64,-2,0,0,0,0,0,0,0,0,0,-66,180754,164,1250,0,0,0,0,0,0,0,0,182168,20804,19,144,0,0,0,0,0,0,0,0,20967,"February 15, 2025"
16,"Oil, Gas & Consumable Fuels",471684,390,0,0,0,0,0,0,0,0,0,472074,54441,45,0,0,0,0,0,0,0,0,0,54486,-369,0,0,0,0,0,0,0,0,0,0,-369,-43,0,0,0,0,0,0,0,0,0,0,-43,-2434,50,0,0,0,0,0,0,0,0,0,-2384,-280,6,0,0,0,0,0,0,0,0,0,-274,444814,440,0,0,0,0,0,0,0,0,0,445254,51195,51,0,0,0,0,0,0,0,0,0,51246,"February 15, 2025"
17,Power,245274,3168,25,0,5548,0,0,0,0,0,0,254015,28309,366,3,0,640,0,0,0,0,0,0,29318,-1083,-10,0,0,-1,0,0,0,0,0,0,-1094,-125,-1,0,0,0,0,0,0,0,0,0,-126,-1852,-27,-20,0,-6,0,0,0,0,0,0,-1905,-213,-3,-2,0,-1,0,0,0,0,0,0,-219,217780,3141,25,0,5505,0,0,0,0,0,0,226451,25065,361,3,0,634,0,0,0,0,0,0,26063,"February 15, 2025"
18,Realty,148075,1006,1245,0,23822,0,0,0,0,0,0,174148,17091,116,144,0,2750,0,0,0,0,0,0,20101,-394,0,0,0,23,0,0,0,0,0,0,-371,-45,0,0,0,3,0,0,0,0,0,0,-42,-782,0,-180,0,-101,0,0,0,0,0,0,-1063,-90,0,-21,0,-12,0,0,0,0,0,0,-123,133787,1006,1065,0,23006,0,0,0,0,0,0,158864,15398,116,123,0,2648,0,0,0,0,0,0,18285,"February 15, 2025"
19,Services,130743,1834,1814,0,3942,0,0,0,0,0,0,138333,15090,212,209,0,455,0,0,0,0,0,0,15966,-1334,-9,0,0,-2,0,0,0,0,0,0,-1345,-154,-1,0,0,0,0,0,0,0,0,0,-155,267,860,0,0,-3,0,0,0,0,0,0,1124,31,99,0,0,0,0,0,0,0,0,0,130,125907,2703,1841,0,3913,0,0,0,0,0,0,134364,14491,311,212,0,450,0,0,0,0,0,0,15464,"February 15, 2025"
20,Telecommunication,278276,120,7900,0,12096,0,0,0,0,0,0,298392,32118,14,912,0,1396,0,0,0,0,0,0,34440,643,0,0,0,0,0,0,0,0,0,0,643,74,0,0,0,0,0,0,0,0,0,0,74,2337,0,0,0,0,0,0,0,0,0,0,2337,269,0,0,0,0,0,0,0,0,0,0,269,290820,120,7900,0,12096,0,0,0,0,0,0,310936,33471,14,909,0,1392,0,0,0,0,0,0,35786,"February 15, 2025"
21,Textiles,24558,460,0,0,0,0,0,0,0,0,0,25018,2834,53,0,0,0,0,0,0,0,0,0,2887,397,0,0,0,0,0,0,0,0,0,0,397,46,0,0,0,0,0,0,0,0,0,0,46,158,0,0,0,0,0,0,0,0,0,0,158,18,0,0,0,0,0,0,0,0,0,0,18,22627,460,0,0,0,0,0,0,0,0,0,23087,2604,53,0,0,0,0,0,0,0,0,0,2657,"February 15, 2025"
22,Utilities,2983,89,0,0,0,0,0,0,0,0,0,3072,344,10,0,0,0,0,0,0,0,0,0,354,-47,0,0,0,0,0,0,0,0,0,0,-47,-5,0,0,0,0,0,0,0,0,0,0,-5,-57,0,0,0,0,0,0,0,0,0,0,-57,-7,0,0,0,0,0,0,0,0,0,0,-7,2722,89,0,0,0,0,0,0,0,0,0,2811,313,10,0,0,0,0,0,0,0,0,0,323,"February 15, 2025"
23,Sovereign,0,70538,1860,244814,0,0,0,0,0,0,0,317212,0,8141,215,28256,0,0,0,0,0,0,0,36612,0,-294,-449,8761,0,0,0,0,0,0,0,8018,0,-34,-52,1011,0,0,0,0,0,0,0,925,0,-2844,52,8928,0,0,0,0,0,0,0,6136,0,-327,6,1028,0,0,0,0,0,0,0,707,0,67831,1910,252330,0,0,0,0,0,0,0,322071,0,7807,220,29041,0,0,0,0,0,0,0,37068,"February 15, 2025"
24,Others,47665,77022,130761,0,9605,6046,2171,293,0,2037,25,275625,5501,8890,15092,0,1109,698,251,34,0,235,3,31813,1348,908,2285,0,0,72,-89,-2,0,26,0,4548,156,105,264,0,0,8,-10,0,0,3,0,526,-116,689,-495,0,0,-102,206,-1,0,122,0,303,-13,79,-57,0,0,-12,24,0,0,14,0,35,44831,78055,131467,0,9605,5798,2236,289,0,1862,25,274168,5160,8984,15131,0,1106,667,257,33,0,214,3,31555,"February 15, 2025"
,Grand Total,6776336,177183,165223,244814,55135,6046,2171,293,0,2273,25,7429499,782113,20450,19069,28256,6364,698,251,34,0,262,3,857500,-42369,55,3065,8761,141,72,-89,-2,0,26,0,-30340,-4890,6,354,1011,16,8,-10,0,0,3,0,-3502,-21272,-1296,-206,8928,-109,-102,206,-1,0,122,0,-13730,-2448,-149,-24,1028,-13,-12,24,0,0,14,0,-1580,6477847,175993,165192,252330,54247,5798,2236,289,0,2093,25,7136050,745555,20256,19012,29041,6243,667,257,33,0,241,3,821308,"February 15, 2025"
