0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","October 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"October 15, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"October 15, 2019"
21,Media,19572,204,0,19776,2769,29,0,2798,52,-1,0,51,7,0,0,7,327,-3,0,324,46,0,0,46,18966,200,0,19166,2659,28,0,2687,"October 15, 2019"
22,Metals & Mining,41410,562,0,41972,5858,80,0,5938,182,0,0,182,26,0,0,26,-231,0,0,-231,-32,0,0,-32,40594,562,0,41156,5692,79,0,5771,"October 15, 2019"
23,Oil & Gas,262295,6078,0,268373,37108,860,0,37968,652,52,0,704,92,7,0,99,156,-285,0,-129,22,-40,0,-18,269414,5764,0,275178,37776,808,0,38584,"October 15, 2019"
24,Pharmaceuticals & Biotechnology,98410,500,0,98910,13922,71,0,13993,-787,-491,0,-1278,-111,-69,0,-180,-298,0,0,-298,-42,0,0,-42,95671,500,0,96171,13415,70,0,13485,"October 15, 2019"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"October 15, 2019"
26,Realty,27766,577,0,28343,3928,82,0,4010,-74,0,0,-74,-10,0,0,-10,-30,0,0,-30,-4,0,0,-4,27397,577,0,27974,3842,81,0,3923,"October 15, 2019"
27,Retailing,30957,300,0,31257,4380,42,0,4422,161,0,0,161,23,0,0,23,236,0,0,236,33,0,0,33,32166,300,0,32466,4510,42,0,4552,"October 15, 2019"
28,Software & Services,341283,0,0,341283,48282,0,0,48282,-1242,0,0,-1242,-176,0,0,-176,-90,0,0,-90,-13,0,0,-13,332403,0,0,332403,46608,0,0,46608,"October 15, 2019"
29,Telecom Services,60258,564,0,60822,8525,80,0,8605,-612,-104,0,-716,-87,-15,0,-102,-345,104,0,-241,-48,15,0,-33,61114,670,0,61784,8569,94,0,8663,"October 15, 2019"
30,Telecommunications Equipment,164,0,0,164,23,0,0,23,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,156,22,0,0,22,"October 15, 2019"
31,"Textiles, Apparels & Accessories",44778,0,0,44778,6335,0,0,6335,91,0,0,91,13,0,0,13,120,0,0,120,17,0,0,17,43997,0,0,43997,6169,0,0,6169,"October 15, 2019"
32,Transportation,45373,699,0,46072,6419,99,0,6518,-254,0,0,-254,-36,0,0,-36,-328,0,0,-328,-46,0,0,-46,43790,699,0,44489,6140,98,0,6238,"October 15, 2019"
32 a,Airlines,11693,699,0,12392,1654,99,0,1753,-27,0,0,-27,-4,0,0,-4,-91,0,0,-91,-13,0,0,-13,10768,699,0,11467,1510,98,0,1608,"October 15, 2019"
32 b,Logistics,1741,0,0,1741,246,0,0,246,-12,0,0,-12,-2,0,0,-2,-6,0,0,-6,-1,0,0,-1,1640,0,0,1640,230,0,0,230,"October 15, 2019"
32 c,Marine Port & Services,18590,0,0,18590,2630,0,0,2630,-232,0,0,-232,-33,0,0,-33,-160,0,0,-160,-22,0,0,-22,18414,0,0,18414,2582,0,0,2582,"October 15, 2019"
32 d,Roads & Highways,1743,0,0,1743,247,0,0,247,13,0,0,13,2,0,0,2,-19,0,0,-19,-3,0,0,-3,1552,0,0,1552,218,0,0,218,"October 15, 2019"
32 e,Shipping,1069,0,0,1069,151,0,0,151,-29,0,0,-29,-4,0,0,-4,2,0,0,2,0,0,0,0,1094,0,0,1094,153,0,0,153,"October 15, 2019"
32 f,Surface Transportation,45,0,0,45,6,0,0,6,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,6,0,0,6,"October 15, 2019"
32 g,Transport Related Services,10493,0,0,10493,1484,0,0,1484,34,0,0,34,5,0,0,5,-53,0,0,-53,-7,0,0,-7,10281,0,0,10281,1442,0,0,1442,"October 15, 2019"
33,Utilities3,84334,4061,0,88395,11931,575,0,12506,-28,20,0,-8,-4,3,0,-1,398,-16,0,382,56,-2,0,54,84953,4047,0,89000,11912,567,0,12479,"October 15, 2019"
34,Sovereign,0,211159,0,211159,0,29873,0,29873,0,-4686,0,-4686,0,-663,0,-663,0,1060,0,1060,0,149,0,149,0,211535,0,211535,0,29661,0,29661,"October 15, 2019"
35,Others4,219222,153577,2961,375760,31014,21727,419,53160,7459,1607,0,9066,1055,227,0,1282,3119,-210,0,2909,437,-29,0,408,221229,153655,2961,377845,31020,21545,415,52980,"October 15, 2019"
,Grand Total,2845384,434054,12265,3291703,402544,61407,1735,465686,9579,-4862,19,4736,1355,-688,3,670,630,-118,7,519,88,-17,1,72,2827271,433707,12517,3273495,396428,60813,1755,458996,"October 15, 2019"
