0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","May 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"May 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"May 15, 2013"
15,Healthcare Equipment & Supplies,517,0,517,954,0,954,-1,0,-1,0,0,0,-4,0,-4,-1,0,-1,454,0,454,83,0,83,"May 15, 2013"
16,Healthcare Services,4708,125,4833,8682,231,8913,176,0,176,32,0,32,38,0,38,7,0,7,5499,125,5624,1004,23,1027,"May 15, 2013"
17,"Hotels, Restaurants & Tourism",4539,0,4539,8372,0,8372,129,0,129,24,0,24,-23,0,-23,-4,0,-4,4561,0,4561,833,0,833,"May 15, 2013"
18,Household & Personal Products,53389,95,53484,98470,175,98645,416,0,416,77,0,77,587,0,587,107,0,107,55134,95,55229,10064,17,10081,"May 15, 2013"
19,Media,16364,190,16554,30181,351,30532,194,0,194,36,0,36,149,0,149,27,0,27,17738,190,17928,3238,35,3272,"May 15, 2013"
20,Metals & Mining,32755,605,33360,60412,1116,61528,-44,0,-44,-8,0,-8,446,149,594,81,27,108,34224,830,35054,6247,152,6399,"May 15, 2013"
21,Oil & Gas,79776,4566,84341,147136,8421,155557,-153,162,9,-28,30,2,414,1154,1568,76,211,286,82366,5766,88132,15035,1053,16087,"May 15, 2013"
22,Pharmaceuticals & Biotechnology,76977,407,77385,141975,751,142726,791,0,791,146,0,146,864,0,864,158,0,158,80957,407,81364,14778,74,14852,"May 15, 2013"
23,Realty,17456,200,17656,32195,369,32564,36,0,36,7,0,7,24,250,274,4,46,50,18006,450,18456,3287,82,3369,"May 15, 2013"
24,Retailing,2689,0,2689,4959,0,4959,9,0,9,2,0,2,20,0,20,4,0,4,2802,0,2802,512,0,512,"May 15, 2013"
25,Software & Services,130740,0,130740,241134,0,241134,-1739,0,-1739,-321,0,-321,50,0,50,9,0,9,137966,0,137966,25184,0,25184,"May 15, 2013"
26,Telecom Services,30499,930,31429,56251,1715,57966,333,0,333,61,0,61,379,0,379,69,0,69,31332,930,32262,5719,170,5889,"May 15, 2013"
27,Telecommunications Equipment,134,0,134,247,0,247,4,0,4,1,0,1,16,0,16,3,0,3,147,0,147,27,0,27,"May 15, 2013"
28,"Textiles, Apparels & Accessories",16029,0,16029,29564,0,29564,190,0,190,35,0,35,136,0,136,25,0,25,16944,0,16944,3093,0,3093,"May 15, 2013"
29,Transportation,11468,0,11468,21152,0,21152,70,0,70,13,0,13,40,0,40,7,0,7,11904,0,11904,2173,0,2173,"May 15, 2013"
29 a,Airlines,375,0,375,691,0,691,23,0,23,4,0,4,-3,0,-3,-1,0,-1,357,0,357,65,0,65,"May 15, 2013"
29 b,Logistics,844,0,844,1556,0,1556,7,0,7,1,0,1,11,0,11,2,0,2,870,0,870,159,0,159,"May 15, 2013"
29 c,Marine Port & Services,4246,0,4246,7831,0,7831,32,0,32,6,0,6,1,0,1,0,0,0,4420,0,4420,807,0,807,"May 15, 2013"
29 d,Roads & Highways,1066,0,1066,1966,0,1966,-2,0,-2,0,0,0,3,0,3,0,0,0,1139,0,1139,208,0,208,"May 15, 2013"
29 e,Shipping,866,0,866,1597,0,1597,0,0,0,0,0,0,5,0,5,1,0,1,971,0,971,177,0,177,"May 15, 2013"
29 f,Surface Transportation,28,0,28,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,5,0,5,"May 15, 2013"
29 g,Transport Related Services,4044,0,4044,7459,0,7459,11,0,11,2,0,2,24,0,24,4,0,4,4121,0,4121,752,0,752,"May 15, 2013"
30,Utilities3,43099,826,43924,79490,1523,81013,461,-8,453,85,-1,84,768,10,778,140,2,142,44133,836,44969,8056,153,8209,"May 15, 2013"
31,Sovereign,0,90605,90605,0,167109,167109,0,10068,10068,0,1857,1857,0,5309,5309,0,969,969,0,95626,95626,0,17455,17455,"May 15, 2013"
32,Others4,26241,52892,79133,48399,97552,145950,76,133,209,14,25,39,578,79,658,106,14,120,26988,51891,78880,4926,9472,14398,"May 15, 2013"
,Grand Total,1198461,192848,1391309,2210407,355684,2566091,5363,9230,14592,989,1702,2691,9051,8564,17615,1652,1563,3215,1254154,200042,1454196,228929,36515,265444,"May 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
"1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
