0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","AUC as on June 15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 01-15, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","Net Investment June 16-30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","AUC as on June 30, 2020","June 30, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"June 30, 2020"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"June 30, 2020"
1,Automobiles & Auto Components,119300,317,0,0,119617,15676,42,0,0,15718,1221,0,0,0,1221,160,0,0,0,160,-45,0,0,0,-45,-6,0,0,0,-6,125847,317,0,0,126164,16662,42,0,0,16704,"June 30, 2020"
2,Total Financial Services,760771,33196,8589,0,802556,99962,4362,1129,0,105453,11954,-155,224,0,12023,1571,-20,29,0,1580,707,-955,-231,0,-479,94,-126,-31,0,-63,810876,32418,8283,0,851577,107362,4292,1097,0,112751,"June 30, 2020"
2a,Banks,440181,7477,0,0,447658,57838,982,0,0,58820,8307,-73,0,0,8234,1092,-10,0,0,1082,-1305,10,0,0,-1295,-173,1,0,0,-172,475905,7476,0,0,483381,63011,990,0,0,64001,"June 30, 2020"
2b,Other Financial Services1,320590,25719,8589,0,354898,42124,3379,1129,0,46632,3647,-82,224,0,3789,479,-11,29,0,497,2012,-965,-231,0,816,266,-128,-31,0,107,334971,24941,8283,0,368195,44351,3302,1097,0,48750,"June 30, 2020"
3,Capital Goods,70842,428,0,0,71270,9308,56,0,0,9364,776,0,0,0,776,102,0,0,0,102,476,41,0,0,517,63,5,0,0,68,74567,468,0,0,75035,9873,62,0,0,9935,"June 30, 2020"
4,Chemicals & Petrochemicals,35688,0,310,0,35998,4689,0,41,0,4730,160,0,0,0,160,21,0,0,0,21,-121,0,0,0,-121,-16,0,0,0,-16,36256,0,310,0,36566,4800,0,41,0,4841,"June 30, 2020"
5,Coal,6525,0,0,0,6525,857,0,0,0,857,-63,0,0,0,-63,-8,0,0,0,-8,-75,0,0,0,-75,-10,0,0,0,-10,6476,0,0,0,6476,857,0,0,0,857,"June 30, 2020"
