0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on March 31, 2013","AUC  as on March 31, 2013","AUC  as on March 31, 2013","AUC  as on March 31, 2013","AUC  as on March 31, 2013","AUC  as on March 31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  March 16-31, 2013","Net  Investment  April 1-15, 2013","Net  Investment  April 1-15, 2013","Net  Investment  April 1-15, 2013","Net  Investment  April 1-15, 2013","Net  Investment  April 1-15, 2013","Net  Investment  April 1-15, 2013","AUC  as on April 15, 2013","AUC  as on April 15, 2013","AUC  as on April 15, 2013","AUC  as on April 15, 2013","AUC  as on April 15, 2013","AUC  as on April 15, 2013","April 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"April 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"April 15, 2013"
1,Automobiles & Auto Components,55133,0,55133,10137,0,10137,280,0,280,51,0,51,-82,0,-82,-15,0,-15,54152,0,54152,9913,0,9913,"April 15, 2013"
2,Total Financial Services,338178,43093,381271,62177,7923,70100,1239,1507,2746,228,277,505,-381,-1066,-1446,-70,-195,-265,335621,40567,376189,61440,7426,68866,"April 15, 2013"
2a,Banks,198545,128,198673,36504,24,36528,365,0,365,67,0,67,-196,0,-196,-36,0,-36,201987,129,202116,36976,24,37000,"April 15, 2013"
2b,Other Financial Services1,139633,42965,182598,25673,7899,33572,874,1507,2381,161,277,438,-184,-1066,-1250,-34,-195,-229,133634,40438,174073,24463,7403,31866,"April 15, 2013"
3,Capital Goods,61389,456,61845,11287,84,11371,-196,37,-159,-36,7,-29,-307,-32,-338,-56,-6,-62,61718,456,62173,11298,83,11382,"April 15, 2013"
4,Chemicals & Petrochemicals,8409,4,8414,1546,1,1547,55,0,55,10,0,10,38,0,38,7,0,7,8269,4,8273,1514,1,1515,"April 15, 2013"
5,Coal,11131,0,11131,2047,0,2047,-20,0,-20,-4,0,-4,-15,0,-15,-3,0,-3,10626,0,10626,1945,0,1945,"April 15, 2013"
6,Commercial Services & Supplies,5952,0,5952,1094,0,1094,-64,0,-64,-12,0,-12,34,0,34,6,0,6,6220,0,6220,1139,0,1139,"April 15, 2013"
7,Construction Materials,26252,0,26252,4827,0,4827,146,0,146,27,0,27,-31,0,-31,-6,0,-6,26232,0,26232,4802,0,4802,"April 15, 2013"
8,Consumer Durables,12085,0,12085,2222,0,2222,249,0,249,46,0,46,52,0,52,10,0,10,11532,0,11532,2111,0,2111,"April 15, 2013"
9,Diversified2,2295,0,2295,422,0,422,27,0,27,5,0,5,-4,0,-4,-1,0,-1,2219,0,2219,406,0,406,"April 15, 2013"
10,Diversified Consumer Services,314,0,314,58,0,58,2,0,2,0,0,0,-4,0,-4,-1,0,-1,286,0,286,52,0,52,"April 15, 2013"
11,"Food, Beverages & Tobacco",77975,100,78075,14336,18,14355,563,99,662,104,18,122,346,0,346,63,0,63,78413,100,78513,14354,18,14373,"April 15, 2013"
12,Forest Materials,354,0,354,65,0,65,2,0,2,0,0,0,62,0,62,11,0,11,419,0,419,77,0,77,"April 15, 2013"
13,General Industrials,5865,0,5865,1078,0,1078,12,0,12,2,0,2,-13,0,-13,-2,0,-2,5763,0,5763,1055,0,1055,"April 15, 2013"
14,Hardware Technology & Equipment,220,0,220,40,0,40,-7,0,-7,-1,0,-1,-2,0,-2,0,0,0,223,0,223,41,0,41,"April 15, 2013"
15,Healthcare Equipment & Supplies,526,0,526,97,0,97,7,0,7,1,0,1,10,0,10,2,0,2,551,0,551,101,0,101,"April 15, 2013"
16,Healthcare Services,4520,125,4645,831,23,854,-3,0,-3,0,0,0,34,0,34,6,0,6,4480,125,4605,820,23,843,"April 15, 2013"
17,"Hotels, Restaurants & Tourism",4652,0,4652,855,0,855,5,0,5,1,0,1,-12,0,-12,-2,0,-2,4300,0,4300,787,0,787,"April 15, 2013"
18,Household & Personal Products,44838,95,44933,8244,17,8261,296,0,296,54,0,54,287,0,287,53,0,53,46092,95,46187,8438,17,8455,"April 15, 2013"
19,Media,14970,190,15160,2752,35,2787,161,0,161,30,0,30,64,0,64,12,0,12,14684,190,14874,2688,35,2723,"April 15, 2013"
